ma_id,qa_id,entity_type,entity_code,entity_name,field,current_value,proposed_value,evidence_source,evidence_note,confidence,match_method,status,source_row_ref
MA-067,QA-176,restaurant,rest_0403,Villa Feltrinelli,michelin_stars,"2","no change – 2 stars confirmed correct","archieinteriors.com Italy-2026 Michelin star roundup (36 of 38 two-star names read directly, incl. Villa Feltrinelli); universofood.net ""Stelle Michelin 2026 – Tutti i ristoranti"" (independent roundup, same result); guide.michelin.com/.../villa-feltrinelli returned HTTP 403 to direct fetch","Two independent secondary sources that each list the full Italy 2026 two-star roster both place Villa Feltrinelli under the two-star tier, not three. The 28-Jul-2026 MICHELIN card capture cited in QA-176 was very likely misread at low resolution. Recommend NOT changing the stored value; MA-051's ""Italy becomes 16 three-star"" hypothesis does not hold – independently, both sources list exactly 15 three-star restaurants in Italy for 2026, none of them Villa Feltrinelli.",medium,code_exact,rejected,supabase/data/restaurants_master.csv row restaurant_code=rest_0403 (michelin_stars column)
MA-051,QA-090,restaurant,,Torre del Saracino,new_row:michelin_stars,"(not in catalogue)","2","torredelsaracino.it/en (official site: ""La Torre del Saracino - 2 Michelin Star""); universofood.net and archieinteriors.com Italy 2026 two-star rosters both list it; guide.michelin.com/us/en/campania/vico-equense/restaurant/torre-del-saracino (search snippet only, direct fetch blocked)","Chef Gennaro Esposito's long-running restaurant is a well-established, unambiguous two-star (previously held 3 stars in some past years); three independent sources agree on 2 stars for 2026. This is very likely one of the two restaurants genuinely missing from the 38-name Italian two-star tier that MA-051 flagged as short by one.",high,code_plus_country,proposed,supabase/data/restaurants_master.csv (new row – no restaurant_code assigned yet)
MA-051,QA-090,restaurant,,Torre del Saracino,new_row:address,"(not in catalogue)","Via Torretta 9, 80069 Vico Equense (NA), Italy","torredelsaracino.it/en; corroborating snippet from guide.michelin.com search result (""via Torretta 9, Vico Equense, 80069, Italy"")","Address text corroborated by the restaurant's own site domain and a MICHELIN search snippet, but not independently verified by direct fetch of either page (guide.michelin.com blocked; torredelsaracino.it not separately fetched for the address line). Treat as medium confidence pending a direct read of the official site.",medium,code_plus_country,proposed,supabase/data/restaurants_master.csv (new row)
MA-051,QA-090,restaurant,,Torre del Saracino,new_row:latitude+longitude+google_place_id,"(not in catalogue)","unable to verify","n/a – no Google Places API access in this research environment","Coordinates and a Place ID must come from an actual Google Maps/Places lookup, which this workspace cannot perform without fabricating a value. Left unresolved rather than guessed.",low,name_proposed_unconfirmed,unresolved,supabase/data/restaurants_master.csv (new row)
MA-051,QA-090,restaurant,,Il Piccolo Principe,new_row:michelin_stars,"(not in catalogue)","2","universofood.net and archieinteriors.com Italy 2026 two-star rosters; multiple Tripadvisor listing titles literally read ""Ristorante Il Piccolo Principe 2 stelle Michelin""; principedipiemonte.com (Grand Hotel Principe di Piemonte, the restaurant's home hotel)","Chef Giuseppe Mancino's restaurant has held two stars continuously since 2014 per multiple sources. Very likely the second of the two restaurants genuinely missing from the Italian two-star tier flagged by MA-051.",high,code_plus_country,proposed,supabase/data/restaurants_master.csv (new row – no restaurant_code assigned yet)
MA-051,QA-090,restaurant,,Il Piccolo Principe,new_row:address,"(not in catalogue)","Piazza Giacomo Puccini 1, 55049 Viareggio (LU), Italy (inside Grand Hotel Principe di Piemonte)","principedipiemonte.com/en/dine/ristorante-il-piccolo-principe.html","Address text corroborated by the parent hotel's own site; not independently fetched to confirm the exact string, so kept at medium confidence.",medium,code_plus_country,proposed,supabase/data/restaurants_master.csv (new row)
MA-051,QA-090,restaurant,,Il Piccolo Principe,new_row:latitude+longitude+google_place_id,"(not in catalogue)","unable to verify","n/a – no Google Places API access","Same limitation as Torre del Saracino above – left unresolved rather than guessed.",low,name_proposed_unconfirmed,unresolved,supabase/data/restaurants_master.csv (new row)
MA-051,QA-090,restaurant,rest_0394,Tre Olivi,michelin_stars,"2","1","universofood.net (""The Tre Olivi Restaurant in Paestum has 1 Star in the MICHELIN Italy Guide 2026""); scattidigusto.it coverage of chef change (Oliver Glowig replacing Giovanni Solofra) at the ""due stelle"" (2022) Tre Olivi, implying the 2-star era predates the current 2026 listing","This is a NEW finding, not one of the original 4 value-conflict items. The project's own QA-090 note says Tre Olivi was ""confirmed two-star from an earlier MICHELIN article"" – that earlier confirmation appears to be for the 2022 guide, under a different chef. Independent 2026-dated sources consistently show Tre Olivi has since been demoted to one star. Net effect on MA-051: correcting Tre Olivi to 1★ and adding Torre del Saracino + Il Piccolo Principe above reconciles the roster to exactly 38 two-star restaurants for Italy 2026 (37 current − 1 Tre Olivi + 2 new = 38).",medium,code_exact,proposed,supabase/data/restaurants_master.csv row restaurant_code=rest_0394 (michelin_stars column)
MA-068,QA-177,hotel,hotel_100,Sofitel Frankfurt Opera,address,"Hochstraße 44, 60313 Frankfurt am Main","no change – confirmed correct (same building as ""Opernplatz 16"")","sofitel-frankfurt.com/contact-us/ (official hotel site: address given as ""Hochstrasse 44, 60313 Frankfurt Am Main""); all.accor.com/hotel/8159 (official Accor listing gives both ""Hochstrasse 44, Opernplatz 16, 60313 Frankfurt am Main"" together, noting ""hotel access is only possible via Hochstrasse 44""); en.wikipedia.org/wiki/Sofitel_Frankfurt_Opera (cites a third number, Opernplatz 14, for the same building)","The hotel occupies a triangular block with three frontages (Opernplatz, Hochstraße, and the Wallanlagen park) and is legitimately reachable under more than one street name/number – this is NOT the ~400 m separation MA-068 assumed; it is one building with dual postal addressing. The operator's own site treats Hochstraße 44 as the current, correct, and only-accessible address. Recommend no change to address, latitude, longitude, or google_place_id.",high,code_exact,rejected,supabase/data/hotels_master.csv row hotel_code=hotel_100 (address/latitude/longitude/google_place_id columns – whole suspect group cleared)
MA-069,QA-178,pair,hotel_13 + rest_0022,Château Neercanne / Chateau Neercanne,address,"Von Dopfflaan 10, 6213 NG Maastricht","no change – confirmed correct","oostwegelcollection.nl/chateau-neercanne/en (official operator site, address given verbatim as ""Von Dopfflaan 10, 6213 NG Maastricht""); en.wikipedia.org/wiki/Château_Neercanne (independently gives the same street name and number, plus coordinates)","Two independent sources, including the property's own operator, confirm ""Von Dopfflaan"" (a laan), not ""Von Dopffplein"" (a plein). MA-069's premise that the MICHELIN card shows a different street appears to be a misread or a MICHELIN-side error. Recommend no address change on either row. This item is also already marked ""Ratified"" in the project's own supabase/data/venues_to_check.csv (row W023: one shared Place ID legitimately covers both hotel and restaurant).",high,code_exact,rejected,"supabase/data/hotels_master.csv row hotel_code=hotel_13, and supabase/data/restaurants_master.csv row restaurant_code=rest_0022 (address columns)"
