issue_id,category,severity,scope,affected,description,recommended_action,status
QA-001,Data error,High,Germany,Germany Two-Key tier,"MICHELIN's German country article is served in two editions. The 2024 edition states 6 Three-Key / 36 Two-Key / 80 One-Key and lists the Two-Key hotels in full. The 2025 edition states 6 / 34 / 90 and names Vitalhotel Alter Meierhof (Gluecksburg) as the ONLY new Two-Key. 36 + 1 new = 37, but 2025 shows 34 -- so roughly 3 hotels left the Two-Key tier and I cannot identify which from available sources. Germany Two-Key NOT loaded. RESOLVED: 2024 list = 36. 2025 list omits Baiersbronn Hotel Engel Obertal, Berlin Hotel am Steinplatz and Cologne Excelsior Hotel Ernst (all three absent from continuous alphabetical stretches of the 2025 list) and adds Gluecksburg Vitalhotel Alter Meierhof. 36 - 3 + 1 = 34, matching MICHELIN exactly.",Reconcile against the 2025 edition before loading; do not import the 2024 list as-is,Resolved
QA-002,Data error,High,Reporting,Germany total Key count in earlier batch report,"My Batch 03 report said Germany has 90 Key hotels total, based on an English trade article that read MICHELIN's '90 One-Key' as '90 total'. MICHELIN's own German article states 6 Three-Key + 34 Two-Key + 90 One-Key = 130. The Germany figures in batch_report_luxembourg_germany.md and later progress tables are wrong.","Germany total is 130, not 90. Global remaining work is larger than previously reported.",Open
QA-003,Data error,Medium,Netherlands,hotel_14 / rest_0016 address conflict,"hotel_14 Hotel TwentySeven is recorded at Dam 27; rest_0016 Bougainville is recorded at Dam 9. Both came from the original source files. Bougainville is TwentySeven’s restaurant, so the link is correct, but one of the two addresses is wrong.",Verify both addresses against MICHELIN and correct whichever is wrong,Open
QA-004,Data error,Low,Switzerland,rest_0240 La Brezza address,"rest_0240 La Brezza (Arosa) has only ""Arosa"" in the address field — no street or number. This is the only Manual Review link in the database.","Add the street address (Tschuggen Grand Hotel, Tschuggentorweg 1) on the restaurant side",Resolved
QA-010,Completeness,High,Switzerland,3 possible Two-Key hotels not loaded,MICHELIN's 2024 Swiss list shows 32 Two-Key; the 2025 article excerpt listed 30 and truncated mid-entry at the final Zurich item. The Dolder Grand and Widder Hotel (both Zurich) appear as Two-Key in 2024; Park Gstaad is similarly uncertain.,Confirm 2025 status and add if still Two-Key,Open
QA-011,Completeness,High,Belgium,Reylof key count + 6th Belgian hotel,"Pillows Grand Boutique Hotel Reylof Ghent is near-certainly One Key (Pillows states 4 Keys across 3 hotels; NL holds 1+2, forcing Reylof=1) but the count was never read off a MICHELIN page. Belgium is reported as 6 Key hotels; 4 delivered, 1 pending, 1 unidentified. RESOLVED by MICHELIN Guide screenshots: Pillows Reylof Ghent confirmed One Key (matching the earlier arithmetic inference). Belgium is not 6 hotels but 15 — see QA-053.",Confirm Reylof from MICHELIN page; identify the 6th Belgian Key hotel,Resolved
QA-012,Completeness,Medium,Belgium,Boutique Hotel Sablon / NH Collection Grand Sablon,"Both have MICHELIN Guide pages but no Key line ever surfaced, unlike all four confirmed Belgian hotels. Likely selected-but-not-keyed. RESOLVED: neither Boutique Hotel Sablon nor NH Collection Grand Sablon appears in the MICHELIN Belgium Key listing. Both are selected-but-not-keyed, as inferred. Excluded permanently.","Confirm not keyed, then exclude permanently",Resolved
QA-013,Completeness,High,All,76 blank michelin_url values,"michelin_url populated on 11 of 87 rows. Country-tier articles do not expose per-hotel page IDs, and the numeric ID cannot be constructed from the slug.","Backfill in the global QA pass, one targeted search per hotel",Open
QA-014,Completeness,Medium,All,13 hotel names unverified against MICHELIN,"The original 17 NL rows use a city-stripped convention that conflicts with the frozen ""exactly as MICHELIN publishes"" rule. 2 renames applied (Pulitzer Amsterdam, Rosewood Amsterdam); 12 NL rows plus hotel_26 remain unverified. See hotel_name_convention_audit.csv.",Verify all 13 against MICHELIN hotel pages,Open
QA-020,Link confidence,Medium,Switzerland,"hotel_49 Grand Resort Bad Ragaz → rest_0234, rest_0243","Campus links. Hotel at Bernhard-Simonstrasse 20, both restaurants at 14. MICHELIN describes the resort as home to Three-, Two- and One-Star restaurants, so the link is well supported but is not an exact address match.",Confirm both restaurants sit within the resort,Open
QA-021,Link confidence,Medium,Netherlands,hotel_14 → rest_0016,Campus link caused by the address conflict in QA-003.,"Resolve QA-003, then regrade",Open
QA-022,Link confidence,Medium,Switzerland,hotel_59 → rest_0240,Manual Review link caused by the missing street address in QA-004.,"Resolve QA-004, then regrade",Open
QA-030,Convention,Medium,"Germany, Switzerland, Netherlands",Destination vs postal municipality,"Three cases where MICHELIN destination and postal municipality differ: hotel_25 Schloss Elmau (Elmau / Kruen, and rest_0207 IKIGAI uses Kruen), hotel_51 Buergenstock Resort (Buergenstock / Obbuergen), hotel_05 Van Oys (Maastricht / Eijsden). Left unchanged per your instruction.",Resolve with the planned separate destination/postal field,Open
QA-031,Schema,Medium,All,Six requested fields have no column,"postal_code, phone_number, cuisine, description, michelin_key_status, michelin_status were verified for the original 17 but have no home in the 20-column schema. Held in hotels_supplementary_fields_NOT_FOR_IMPORT.csv.","Add columns at next migration, then import the supplementary file",Open
QA-032,Schema,Medium,All,No michelin_keys award year,"michelin_keys records how many keys but not which year. The planned ""Michelin Key history"" feature cannot be built on this column.",Add michelin_keys_year or a separate history table,Open
QA-033,Schema,Low,All,Multi-value restaurant columns,"hotel_49 uses comma-separated values in restaurant_names / restaurant_codes. Confirm the Supabase import handles this, or promote hotel_restaurant_links.csv to a join table.",Confirm import behaviour or migrate to a join table,Open
