candidate_name,city_as_sourced,reason_excluded,evidence,confidence,notes
Restaurant De Leest,Vaassen,CLOSED,"Was a landmark 3-star restaurant (chef Jacob Jan Boerma) but permanently closed 2019-12-27. Confirmed independently by two separate research passes.",high,"The building has since reopened under different ownership as an Italian restaurant, 'Aroma', with no confirmed Michelin star of its own found."
&moshik,Amsterdam,CLOSED,"Was a 2-star restaurant (chef Moshik Roth), permanently closed May 2020 due to COVID-19 bankruptcy.",high,"Stale source entry -- fully defunct, not a rename or relocation."
In den Rustwat,Rotterdam,WRONG_DISTINCTION_TYPE,"Holds a Bib Gourmand, not a Michelin star -- a different, lower Michelin distinction entirely.",high,"Source list appears to have conflated 'in the Michelin guide' generally with 'currently starred'."
De Zwethheul,Schipluiden,CLOSED_RENAMED,"Original entity (up to 2 stars) closed 2015-01-08; site reopened as 'Aan de Zweth' under new ownership. That successor may have since lost its own star (medium-confidence, exact date not found), but the name 'De Zwethheul' itself is 11 years stale regardless.",high,"If pursued at all in a future pass, research 'Aan de Zweth' as its own separate candidate, not as a continuation of this name."
De Lindehof,Nuenen,CLOSED,"2-star restaurant (chef Soenil Bahadoer, Surinamese-Hindu/French cuisine) closed permanently 2025-05-01. Rumored relaunch in Gemert not yet confirmed open.",high,"Explicitly confirmed as a GENUINELY SEPARATE restaurant from production's existing 'De Lindenhof' (Giethoorn, different province, different chef) -- not a spelling variant of an existing row, just also closed."
De Echoput,Hoog Soeren,NO_CURRENT_STAR,"Star history choppy (1971-97, 2002-04, 2011-~2014); does not appear in recent star lists. Site rebranded 2025 into 'Grand Bistro Echo' + a new fine-dining concept 'Wild Atelier' (chef Jonathan Zandbergen), added to the Michelin selection April 2026 but not awarded a star as of available evidence -- it did win a 2026 Gault&Millau award instead.",medium,"If a star is awarded to 'Wild Atelier' in a future edition, that would be a new, separate candidate under that name, not 'De Echoput'."
Seasons,Apeldoorn,NO_MATCH_FOUND,"No restaurant literally named 'Seasons' holding a Michelin star was found in Apeldoorn. Closest phonetic match ('Sæson') is confirmed closed and its own site never claimed a Michelin star.",low,"Likely source noise/garbling. Apeldoorn's actual currently-starred restaurant (Zenith) is already correctly in production."
Smaak,Arnhem,CLOSED_OR_NEVER_STARRED,"An aggregator lists it as '(Closed)'; no evidence found anywhere that it ever held a Michelin star.",medium,"Recommend excluding -- no positive evidence of Michelin recognition at any point."
Bistronoom,Nijmegen,NO_MATCH_WRONG_CITY,"No restaurant called 'Bistronoom' exists in Nijmegen. The only two findable 'Bistronoom' restaurants are in Woerden, Netherlands (no evidence of a star) and Wortegem, Belgium (a different country).",low,"Very likely a garbled/misattributed source entry -- city and possibly country appear fabricated."
Oonivoo,Leeuwarden,CLOSED_WRONG_CITY,"Actually located in Uden, North Brabant -- not Leeuwarden (Friesland), ~180km away. Won 1 star Dec 2018, lost it May 2022, restaurant itself closed permanently Jan 2024.",high,"Triple-bad entry: wrong city, already-lost star before closing, and now fully closed. Clear source noise."
De Loohoeve,Schoonloo,VOLUNTARILY_DROPPED_STAR,"Won its first star Dec 2018 (chefs Jeroen & Marleen Brouwer). In 2022 closed the fine-dining concept and reopened as a casual eatery/cafe, explicitly stating the star 'isn't for us'. Property reportedly later sold; owners opened a new restaurant in Groningen.",high,"Not currently pursuing Michelin recognition under this concept -- exclude."
