name,restaurant_code,induction_year_derived,evidence_source,catalogue_status,confidence,status
El Bulli,,2019,"theworlds50best.com Best of the Best; the Hall of Fame mechanism (No.1 winners retired from future competition) launched in 2019 and retroactively covered all pre-2019 No.1 winners including El Bulli's 2002/2006-2009 wins. Wikipedia: The World's 50 Best Restaurants (Best of the Best section), retrieved 2026-08-07.",not_in_catalogue,high,proposed
The French Laundry,rest_0735,2019,"theworlds50best.com Best of the Best; retroactive 2019 induction covering the 2003-2004 wins, per the 2019 launch of the Hall of Fame mechanism. Wikipedia: The World's 50 Best Restaurants, retrieved 2026-08-07.",in_catalogue,high,proposed
The Fat Duck,,2019,"theworlds50best.com Best of the Best; retroactive 2019 induction covering the 2005 win. Wikipedia: The World's 50 Best Restaurants, retrieved 2026-08-07.",not_in_catalogue,high,proposed
Noma,,2019,"theworlds50best.com Best of the Best; original 2010-2012/2014 wins retroactively inducted 2019. Noma won a fifth time in 2021 as a reconstituted restaurant (new location/concept/ownership per 50 Best's own ruling), which re-triggered the automatic-retirement rule under its now-live form; treat 2019 as the primary induction year with 2021 as a documented re-entry, not a second restaurant. Wikipedia: The World's 50 Best Restaurants, retrieved 2026-08-07.",not_in_catalogue,medium,proposed
El Celler de Can Roca,rest_0337,2019,"theworlds50best.com Best of the Best; retroactive 2019 induction covering the 2013/2015 wins. Wikipedia: The World's 50 Best Restaurants, retrieved 2026-08-07.",in_catalogue,high,proposed
Osteria Francescana,rest_0078,2019,"theworlds50best.com Best of the Best; retroactive 2019 induction covering the 2016/2018 wins. Wikipedia: The World's 50 Best Restaurants, retrieved 2026-08-07.",in_catalogue,high,proposed
Eleven Madison Park,rest_0045,2019,"theworlds50best.com Best of the Best; retroactive 2019 induction covering the 2017 win. Wikipedia: The World's 50 Best Restaurants, retrieved 2026-08-07.",in_catalogue,high,proposed
Mirazur,,2019,"theworlds50best.com Best of the Best; first restaurant inducted under the live (non-retroactive) rule immediately upon its 2019 win. Wikipedia: The World's 50 Best Restaurants, retrieved 2026-08-07.",not_in_catalogue,high,proposed
Geranium,rest_0473,2022,"theworlds50best.com Best of the Best; inducted immediately upon its 2022 No.1 win under the live retirement rule. Wikipedia: The World's 50 Best Restaurants, retrieved 2026-08-07.",in_catalogue,high,proposed
Central,,2023,"theworlds50best.com Best of the Best; inducted immediately upon its 2023 No.1 win under the live retirement rule. Wikipedia: The World's 50 Best Restaurants, retrieved 2026-08-07.",not_in_catalogue,high,proposed
Disfrutar,rest_0331,2024,"theworlds50best.com Best of the Best; inducted immediately upon its 2024 No.1 win under the live retirement rule. Wikipedia: The World's 50 Best Restaurants, retrieved 2026-08-07.",in_catalogue,high,proposed
