check_type,scope,method,result,notes
fresh_production_name_match,573/573,"lower(name) = lower(candidate name), same country_code, live query",0 matches,"Re-run fresh this session against the current 789-restaurant production catalogue (which now includes the 15 Netherlands imports)."
fresh_production_url_match,553/573 (candidates with a captured michelin_url),"exact michelin_url match, live query",0 matches,"20 candidates have no captured michelin_url on file (see evidence-format note in main report) and were excluded from this specific check -- covered instead by the name+city fallback check below."
fresh_production_city_fk,573/573,"city_id exists in public.cities AND country_code matches",0 invalid,"0 bad_city_fk, 0 city_country_mismatch -- fully re-verified live, not reused from the BE/FR workstream's own earlier checks."
fresh_production_coordinate_proximity,573/573,"ST_DWithin 40m against all 789 production restaurants, live query",2 matches found,"fr_0118 (Hakuba, 10.9m from rest_0304 Plénitude) and fr_0122 (Le Tout-Paris, 24.9m from rest_0304 Plénitude) -- both explained: distinct, differently-named restaurants sharing the Cheval Blanc Paris building. Not duplicates."
cross_candidate_name_city_country,573 vs 573,"grouped by (lower(name), lower(city), country_code)",0 duplicate groups,"No two of the 573 candidates represent the same restaurant."
cross_candidate_coordinate,573 vs 573,"grouped by rounded (lat,lon) to 5 decimal places",2 duplicate groups (4 candidates),"L'Abysse Paris / Pavyllon Paris (fr_0125/fr_0134, pre-existing documented pattern) and La Vague d'Or / La Terrasse - Cheval Blanc St-Tropez (fr_0501/fr_0503) -- both legitimate same-building distinct restaurants, already documented in the parent workstream's own control report."
cross_candidate_url,573 vs 573,"grouped by address_source where it is a real Michelin URL",0 duplicate groups,"No two candidates share a Michelin Guide URL."
known_collision_fixture_La_Paix,1,"candidate be_006 vs existing rest_0709 (Tokyo)",correctly_distinct,"be_006 present in READY population as 'La Paix', Bruxelles -- not merged with the unrelated Tokyo restaurant of the same name."
known_collision_fixture_Sense,1,"candidate be_034 vs existing rest_0098 (Vught, NL)",correctly_distinct,"be_034 present in READY population as 'Sense', Waasmunster -- not merged with the unrelated Netherlands restaurant of the same name."
known_collision_fixture_EST,1,"candidate be_076 vs existing rest_0497 (Tokyo)",correctly_distinct,"be_076 present in READY population as 'EST', Heverlee -- not merged with the unrelated Tokyo restaurant of the same name."
