hotel_code,name,guide_year,award_type,award_value,is_current,evidence_source,confidence,status
hotel_23,Hotel Bareiss,2024,michelin_keys,3,false,"MICHELIN Guide DACH debut press release (michelin.com/en/publications/products-and-services/michelin-keys-dach-countries) confirming 17 Three-Key hotels incl. Hotel Bareiss, Baiersbronn, retrieved via WebSearch 2026-08-07 (guide.michelin.com hotel page blocked)",medium,proposed
hotel_24,Hotel Traube Tonbach,2024,michelin_keys,3,false,"MICHELIN Guide DACH debut press release (michelin.com/en/publications/products-and-services/michelin-keys-dach-countries) confirming 17 Three-Key hotels incl. Hotel Traube Tonbach, Baiersbronn, retrieved via WebSearch 2026-08-07",medium,proposed
hotel_25,Schloss Elmau Luxury Spa Retreat & Cultural Hideaway,2024,michelin_keys,3,false,"MICHELIN Guide DACH debut press release confirming 17 Three-Key hotels incl. Schloss Elmau, Elmau, retrieved via WebSearch 2026-08-07",medium,proposed
hotel_26,Hotel Vier Jahreszeiten,2024,michelin_keys,3,false,"MICHELIN Guide DACH debut press release confirming 17 Three-Key hotels incl. Fairmont Hotel Vier Jahreszeiten, Hamburg (MICHELIN listing uses the Fairmont-prefixed name; matched on city+country+address), retrieved via WebSearch 2026-08-07",medium,proposed
hotel_27,The Fontenay,2024,michelin_keys,3,false,"MICHELIN Guide DACH debut press release confirming 17 Three-Key hotels incl. The Fontenay, Hamburg; hotel's own michelin_url (guide.michelin.com/en/hotels-stays/hamburg/the-fontenay-11121) already on file confirms current award, retrieved via WebSearch 2026-08-07",medium,proposed
hotel_28,Althoff Seehotel Überfahrt,2024,michelin_keys,3,false,"MICHELIN Guide DACH debut press release confirming 17 Three-Key hotels incl. Althoff Seehotel Überfahrt, Rottach-Egern, retrieved via WebSearch 2026-08-07",medium,proposed
hotel_29,Rosewood Schloss Fuschl,2024,michelin_keys,3,false,"MICHELIN Guide DACH debut press release confirming 17 Three-Key hotels incl. Rosewood Schloss Fuschl, Hof bei Salzburg; corroborated by guide.michelin.com article title 'Three Key Rosewood Schloss Fuschl: An Iconic Castle Hotel Reinvented', retrieved via WebSearch 2026-08-07",medium,proposed
hotel_30,Hotel Sacher Wien,2024,michelin_keys,3,false,"MICHELIN Guide DACH debut press release confirming 17 Three-Key hotels incl. Hotel Sacher Wien, Vienna; continuity into 2025 global selection corroborated by globetrender.com 2025-10-19 list, retrieved via WebSearch 2026-08-07",medium,proposed
hotel_49,Grand Resort Bad Ragaz,2024,michelin_keys,3,false,"MICHELIN Guide DACH debut press release confirming 17 Three-Key hotels incl. Grand Resort Bad Ragaz, retrieved via WebSearch 2026-08-07",medium,proposed
hotel_50,Hotel Les Trois Rois,2024,michelin_keys,3,false,"MICHELIN Guide DACH debut press release confirming 17 Three-Key hotels incl. Hotel Les Trois Rois, Basel, retrieved via WebSearch 2026-08-07",medium,proposed
hotel_51,Bürgenstock Resort,2024,michelin_keys,3,false,"MICHELIN Guide DACH debut press release confirming 17 Three-Key hotels incl. Bürgenstock Resort, retrieved via WebSearch 2026-08-07",medium,proposed
hotel_52,Beau-Rivage Geneva,2024,michelin_keys,3,false,"MICHELIN Guide DACH debut press release confirming 17 Three-Key hotels incl. Beau-Rivage Geneva, retrieved via WebSearch 2026-08-07",medium,proposed
hotel_53,"The Woodward, Auberge Collection",2024,michelin_keys,3,false,"MICHELIN Guide DACH debut press release confirming 17 Three-Key hotels incl. The Woodward, Geneva; continuity into 2025 global selection corroborated by globetrender.com 2025-10-19 list, retrieved via WebSearch 2026-08-07",medium,proposed
hotel_54,The Alpina Gstaad,2024,michelin_keys,3,false,"MICHELIN Guide DACH debut press release confirming 17 Three-Key hotels incl. The Alpina Gstaad, retrieved via WebSearch 2026-08-07",medium,proposed
hotel_55,Badrutt's Palace Hotel,2024,michelin_keys,3,false,"MICHELIN Guide DACH debut press release confirming 17 Three-Key hotels incl. Badrutt's Palace Hotel, St. Moritz; hotel's own michelin_url already on file, retrieved via WebSearch 2026-08-07",medium,proposed
hotel_56,Carlton Hotel St. Moritz,2024,michelin_keys,3,false,"MICHELIN Guide DACH debut press release confirming 17 Three-Key hotels incl. Carlton Hotel St. Moritz, retrieved via WebSearch 2026-08-07",medium,proposed
hotel_57,Baur au Lac,2024,michelin_keys,3,false,"MICHELIN Guide DACH debut press release confirming 17 Three-Key hotels incl. Baur au Lac, Zurich, retrieved via WebSearch 2026-08-07",medium,proposed
hotel_480,Atrio Restaurante Hotel,2024,michelin_keys,3,false,"MICHELIN Guide Spain debut, 29 April 2024, one of 5 Three-Key hotels; named explicitly in santpol.edu.es blog '5 Spanish hotels awarded with 3 Michelin Keys', retrieved via WebSearch 2026-08-07",medium,proposed
hotel_484,Abadía Retuerta LeDomaine,2024,michelin_keys,3,false,"MICHELIN Guide Spain debut, 29 April 2024, one of 5 Three-Key hotels; named explicitly in santpol.edu.es blog '5 Spanish hotels awarded with 3 Michelin Keys', retrieved via WebSearch 2026-08-07",medium,proposed
hotel_491,Terra Dominicata - Hotel & Winery,2024,michelin_keys,3,false,"MICHELIN Guide Spain debut, 29 April 2024, one of 5 Three-Key hotels; named explicitly (as 'Terra Dominicata Hotel & Winery') in santpol.edu.es blog, retrieved via WebSearch 2026-08-07",medium,proposed
hotel_540,"Mandarin Oriental Ritz, Madrid",2024,michelin_keys,3,false,"MICHELIN Guide Spain debut, 29 April 2024, one of 5 Three-Key hotels; named explicitly (as 'Mandarin Oriental Ritz') in santpol.edu.es blog, retrieved via WebSearch 2026-08-07",medium,proposed
hotel_320,Il San Pietro di Positano,2024,michelin_keys,3,false,"MICHELIN Guide Italy debut, 7 May 2024, one of 8 Three-Key hotels; named explicitly ('San Pietro in Positano') in Forbes (irenelevine, 2024-05-16) and italiabsolutely.com, retrieved via WebFetch/WebSearch 2026-08-07",medium,proposed
