candidate_id,canonical_name,check_type,production_match_found,production_restaurant_code,production_name,distance_or_similarity,classification,notes
nl_001,Merlet,name_ilike + 500m_radius,no,,,,DISTINCT_CONFIRMED,"No name match; no production restaurant within 500m of resolved coordinate."
nl_002,Latour,name_ilike + 500m_radius,no,,,,DISTINCT_CONFIRMED,"No name match; no production restaurant within 500m of resolved coordinate."
nl_003,Basiliek,name_ilike + 500m_radius,partial,rest_0146,'t Nonnetje,83.8m,DISTINCT_CONFIRMED,"A different-named 2-star restaurant exists 84m away -- Harderwijk's historic center is tiny, this is a genuine, distinct neighbor, not a duplicate. Different name, different Michelin star count (2 vs Basiliek's 1)."
nl_004,Restaurant Smink,name_ilike + 500m_radius,no,,,,DISTINCT_CONFIRMED,"No name match. 500m radius check not applicable (candidate is CONFLICT/no trusted coordinate is not the case here -- ADDRESS_EXACT coordinate WAS checked, 0 production matches within 500m)."
nl_005,De Vlindertuin,name_ilike + 500m_radius,no,,,,DISTINCT_CONFIRMED,"No name match; no production restaurant within 500m of resolved coordinate."
nl_006,Noble Kitchen,name_ilike + identity_investigation,investigated,rest_0070,Nami,4120m,DISTINCT_CONFIRMED,"OSM's address-level geocode for Noble Kitchen's given address returned a POI named 'Nami', which does exist in production (rest_0070) -- but production's Nami is at Molenstraat 7, Cromvoirt, 4.12km from Noble Kitchen's given address (Deutersestraat 39B). NOT the same restaurant; ruled out as a duplicate. The underlying identity/address conflict for Noble Kitchen itself remains open (see location_results.csv) -- this check clears the duplicate concern specifically, not the location conflict."
nl_007,De Woage,name_ilike + 500m_radius,no,,,,DISTINCT_CONFIRMED,"No name match; no production restaurant within 500m of resolved coordinate."
nl_008,De Swarte Ruijter,name_ilike + 500m_radius,no,,,,DISTINCT_CONFIRMED,"No name match; no production restaurant within 500m of resolved coordinate."
nl_009,'t Lansink,name_ilike + 500m_radius,no,,,,DISTINCT_CONFIRMED,"No name match; no production restaurant within 500m of resolved coordinate."
nl_010,De Bloemenbeek,name_ilike + 500m_radius,no,,,,DISTINCT_CONFIRMED,"No name match; no production restaurant within 500m of resolved coordinate."
nl_011,De Gieser Wildeman,name_ilike + 500m_radius,no,,,,DISTINCT_CONFIRMED,"No name match; no production restaurant within 500m of resolved coordinate."
nl_012,De Moerbei,name_ilike + 500m_radius,no,,,,DISTINCT_CONFIRMED,"No name match; no production restaurant within 500m of resolved coordinate."
nl_013,Bij Jef,name_ilike + 500m_radius,no,,,,DISTINCT_CONFIRMED,"No name match; no production restaurant within 500m of resolved coordinate."
nl_014,Daalder,name_ilike + 500m_radius,no,,,,DISTINCT_CONFIRMED,"No name match in production. Radius check re-run against the now-resolved coordinate (52.3805171, 4.8856647) after the location conflict was cleared -- 0 production restaurants within 500m."
nl_015,Graphite by Peter Gast,name_ilike + 500m_radius,partial,"rest_0144 / rest_0108","Spectrum / The White Room by Jacob Jan Boerma","241.2m / 384.2m",DISTINCT_CONFIRMED,"Two different-named production restaurants exist within 500m -- central Amsterdam is dense with Michelin venues. Both clearly distinct names/identities, not duplicates."
nl_016,Zheng,name_ilike + 500m_radius,no,,,,DISTINCT_CONFIRMED,"No name match; no production restaurant within 500m of resolved coordinate."
nl_017,AIRrepublic,name_ilike,no,,,,DISTINCT_CONFIRMED,"No name match in production. Radius check moot -- candidate confirmed CLOSED (2024-03-30) and withdrawn from scope entirely, see removed_not_genuinely_missing.csv and manual_review.csv."
nl_018,Pure C,name_ilike + identity_investigation,investigated,rest_0043,Demain,1745m,DISTINCT_CONFIRMED,"OSM's address-level geocode for Pure C's given address returned a POI named 'Demain', which does exist in production (rest_0043) -- but production's Demain is at Visserijweg 1, Cadzand (a different postal town/street from Pure C's Cadzand-Bad/Boulevard de Wielingen address), 1.75km away and on Michelin's own separate '/cadzand/' URL slug (vs. Pure C's '/cadzand-bad/'). NOT the same restaurant; ruled out as a duplicate. The underlying identity/address conflict for Pure C itself remains open (see location_results.csv) -- this check clears the duplicate concern specifically, not the location conflict."
