year,rank,name_as_listed,country_as_listed,reason,notes,candidate_restaurant_code,candidate_confidence
2002,1,El Bulli,Spain,closed,Permanently closed 2011 (Ferran Adrià); site is now the elBulli1846 museum/foundation.,,
2002,2,Restaurant Gordon Ramsay,UK,unmatched,No adequately similar catalogue candidate in United Kingdom; closest was Ikoyi (London) at name_sim=0.22.,,
2002,4,Rockpool,Australia,unmatched,"Country ""Australia"" has no restaurants in the catalogue universe.",,
2002,5,Spoon des Iles,Ile Maurice,unmatched,"Country ""Ile Maurice"" has no restaurants in the catalogue universe.",,
2002,6,L'Auberge de l'Ill,France,unmatched,No adequately similar catalogue candidate in France; closest was Arpège (Paris) at name_sim=0.42.,,
2002,7,1884,Argentina,unmatched,No adequately similar catalogue candidate in Argentina; closest was Don Julio (Buenos Aires) at name_sim=0.0.,,
2002,8,The Ivy,UK,unmatched,No adequately similar catalogue candidate in United Kingdom; closest was Ikoyi (London) at name_sim=0.5.,,
2002,9,Eigensinn Farm,Canada,unmatched,"Country ""Canada"" has no restaurants in the catalogue universe.",,
2002,10,Tetsuya's,Australia,unmatched,"Country ""Australia"" has no restaurants in the catalogue universe.",,
2002,11,Charlie Trotter's,USA,closed,Permanently closed 2012 (chef Charlie Trotter's decision).,,
2002,12,Tangerine,USA,ambiguous,"Closest catalogue candidate rest_0753 (Aubergine, Carmel-by-the-Sea, United States) name_sim=0.67 city_sim=0.34 — insufficient corroboration to accept.",rest_0753,low
2002,13,La Coupole,France,unmatched,No adequately similar catalogue candidate in France; closest was Plénitude (Paris) at name_sim=0.38.,,
2002,14,Bukhara,India,unmatched,"Country ""India"" has no restaurants in the catalogue universe.",,
2002,15,Vong,USA,unmatched,No adequately similar catalogue candidate in United States; closest was The Modern (New York) at name_sim=0.4.,,
2002,16,L'Ambroisie,France,unmatched,No adequately similar catalogue candidate in France; closest was Arpège (Paris) at name_sim=0.38.,,
2002,17,Al Mahara,UAE,unmatched,No adequately similar catalogue candidate in United Arab Emirates; closest was Orfali Bros (Dubai) at name_sim=0.4.,,
2002,18,Felix,Hong Kong,unmatched,No adequately similar catalogue candidate in Hong Kong; closest was L'Envol (Hong Kong) at name_sim=0.36.,,
2002,19,The Merchant House,UK,unmatched,No adequately similar catalogue candidate in United Kingdom; closest was Alain Ducasse at The Dorchester (London) at name_sim=0.32.,,
2002,20,Operakällaren,Sweden,unmatched,No adequately similar catalogue candidate in Sweden; closest was Frantzén (Stockholm) at name_sim=0.38.,,
2002,21,Gramercy Tavern,USA,unmatched,No adequately similar catalogue candidate in United States; closest was Per Se (New York) at name_sim=0.38.,,
2002,22,Sukiyabashi Jiro,Japan,ambiguous,"Closest catalogue candidate rest_0522 (Sukiyabashi Jiro Roppongiten, Tokyo, Japan) name_sim=0.73 city_sim=1.0 — insufficient corroboration to accept.",rest_0522,low
2002,24,Alle Testiere,Italy,ambiguous,"Closest catalogue candidate rest_0003 (Al Gatto Verde, Modena, Italy) name_sim=0.59 city_sim=0.33 — insufficient corroboration to accept.",rest_0003,low
2002,25,The Lone Star,Mount Standfast,unmatched,"Country ""Mount Standfast"" has no restaurants in the catalogue universe.",,
2002,26,Chez Vroney,Switzerland,ambiguous,"Closest catalogue candidate rest_0256 (Gilles Varone, Savièse, Switzerland) name_sim=0.58 city_sim=0.14 — insufficient corroboration to accept.",rest_0256,low
2002,27,Flower Drum,Australia,unmatched,"Country ""Australia"" has no restaurants in the catalogue universe.",,
2002,28,The Three Chimneys,UK,unmatched,No adequately similar catalogue candidate in United Kingdom; closest was Alain Ducasse at The Dorchester (London) at name_sim=0.32.,,
2002,29,Chez Panisse,USA,unmatched,No adequately similar catalogue candidate in United States; closest was Per Se (New York) at name_sim=0.44.,,
2002,30,Le Jardin des Sens,France,unmatched,No adequately similar catalogue candidate in France; closest was Arpège (Paris) at name_sim=0.38.,,
2002,31,River Café,UK,unmatched,No adequately similar catalogue candidate in United Kingdom; closest was Alain Ducasse at The Dorchester (London) at name_sim=0.18.,,
2002,32,Kronenhalle,Switzerland,unmatched,No adequately similar catalogue candidate in Switzerland; closest was IGNIV Zürich by Andreas Caminada (Zurich) at name_sim=0.25.,,
2002,33,Il Pescatore,USA,unmatched,No adequately similar catalogue candidate in United States; closest was Lazy Bear (San Francisco) at name_sim=0.48.,,
2002,34,Nepenthe,USA,unmatched,No adequately similar catalogue candidate in United States; closest was SingleThread (Healdsburg) at name_sim=0.5.,,
2002,35,The Spa,Thailand,unmatched,No adequately similar catalogue candidate in Thailand; closest was Nusara (Bangkok) at name_sim=0.44.,,
