action_id,entity_type,entity_code,entity_name,country,city,issue_category,exact_issue,why_claude_could_not_resolve,what_you_must_do,suggested_source,priority,blocks_import,related_qa_issue_id,status,mvp_triage
MA-001,schema,,relationship storage,ALL,,Data integrity,"The same hotel-restaurant relationship is stored in three places that disagree: hotel_restaurant_links.csv holds 49 pairs, hotels.restaurant_codes holds 46, restaurants.hotel_code holds 20. The union is 61 distinct pairs. 12 relationships exist only in the restaurant table and were never written to the links file; 3 exist only in the links file.","Deciding which of the three is authoritative is a data-model decision, not a factual one. Reconciling by overwriting could silently delete a correct relationship.",hotel_restaurant_links.csv is now the single source of truth. The denormalised columns were dropped from both entity tables.,hotel_restaurant_links.csv plus the 12 pairs listed in MA-002,Critical,True,QA-NEW,Resolved,Resolved
MA-002,schema,,12 links missing from join table,ALL,,Data integrity,"These pairs are set on the restaurant row but absent from hotel_restaurant_links.csv: hotel_321/rest_0402, hotel_332/rest_0388, hotel_344/rest_0396, hotel_440/rest_0378, hotel_459/rest_0417, hotel_460/rest_0419, hotel_480/rest_0350, hotel_481/rest_0369, hotel_508/rest_0334, hotel_535/rest_0346, hotel_542/rest_0354, hotel_545/rest_0342.","All twelve are factually correct links I created, but writing them into the join table is part of the reconciliation decision in MA-001.","All 12 restaurant-row-only links plus 1 from the Deessa correction were consolidated into the join table, which now holds 62 rows with a link_id primary key.",restaurants_master.csv hotel_code column,Critical,True,QA-NEW,Resolved,Resolved
MA-003,schema,,UUID strategy,ALL,,Required field,17 of 572 hotels and 325 of 489 restaurants carry a UUID. The rest are blank. The populated ones are valid v5 UUIDs and unique.,Whether Supabase generates ids on insert or you supply deterministic v5 UUIDs is your architectural choice; guessing would create ids you cannot reproduce.,"RESOLVED. Supabase will assign all primary keys via gen_random_uuid(). All 17 hotel and 325 restaurant UUIDs were cleared from the CSVs; hotel_code and restaurant_code are preserved, unique and non-null.",existing v5 UUIDs in hotels_master.csv and restaurants_master.csv,Critical,True,QA-NEW,Resolved,Resolved
MA-004,restaurant,rest_0254,Da Vittorio,Switzerland,St. Moritz,Wrong Place ID,"rest_0254 Da Vittorio previously carried the Place ID, address and coordinates of hotel_55 Badrutt Palace Hotel. Those known-wrong values have now been cleared, so the row has no location data at all.","Correcting a Place ID requires a fresh verified lookup, which is research and was out of scope for this consolidation.","RESOLVED 28 July 2026. Repaired from a MICHELIN card and restored: published name Da Vittorio - St. Moritz, Via Johannes Badrutt 11, Carlton Hotel Place ID and coordinates, link to hotel_56 restored.",Google Maps or MICHELIN restaurant page,High,True,QA-067,Resolved,Resolved
MA-005,restaurant,rest_0240,La Brezza,Switzerland,Arosa,Missing Place ID,The only row in either master file with no google_place_id. Coordinates are present.,"Filling it requires a lookup, which is research.","RESOLVED 28 July 2026. Repaired from a MICHELIN card and restored: three stars, Tschuggentorweg 1, hotel_59 Place ID and coordinates, link restored.",Google Maps,High,True,QA-004,Resolved,Resolved
MA-006,restaurant,rest_0042,Deesa,Spain,Madrid,Wrong record content,"Name is spelled Deesa where MICHELIN writes Deessa, and the stored address Calle de Alcala 10 belongs to a different property. Deessa sits inside the Mandarin Oriental Ritz on Plaza de la Lealtad 5. Corrected values were prepared but never applied.",Overwriting an existing row is a substantive change that needs your approval.,The seven prepared corrections were applied to rest_0042 and the hotel_540 link was added to the join table.,restaurant_corrections.csv,High,True,QA-089,Resolved,Resolved
MA-007,restaurant,rest_0158,La Paix,Belgium,Brussels,Wrong address,Carries Corinthia's Rue Royale 103 instead of its own Rue Ropsy Chaudron 49. Caused a false hotel link that was later removed.,Requires a verified lookup.,RESOLVED BY EXCLUSION. rest_0158 moved to restaurants_pending_manual_review.csv.,Google Maps or MICHELIN,High,True,QA-054,Resolved,Resolved
MA-008,both,hotel_55 / rest_0254,Badrutt's Palace Hotel / Da Vittorio,,,Shared Place ID,"The hotel row and the restaurant row carry the identical google_place_id. This pair is an error, see MA-004.",Whether one Google record legitimately covers both a hotel and its restaurant is a modelling decision.,"The shared Place ID between hotel_55 and rest_0254 was the Da Vittorio error, now cleared. See MA-004.",Google Maps,Critical,False,QA-096,Resolved,Resolved
MA-009,both,hotel_02 / rest_0021,Central Park / Central Park,,,Shared Place ID,The hotel row and the restaurant row carry the identical google_place_id. Single property; confirm this is intentional.,Ratified 28 Jul 2026: MICHELIN cards show hotel and restaurant as separate entities at one address. Shared Place ID is legitimate.,"Confirm the shared Place ID is acceptable, or obtain a separate record for one side.",Google Maps,Medium,False,QA-096,Resolved,2 Nice to have before launch
MA-010,both,hotel_118 / rest_0227,Söl’ring Hof / Söl'ring Hof,,,Shared Place ID,The hotel row and the restaurant row carry the identical google_place_id. Single property; note the apostrophe differs between tables.,Ratified 28 Jul 2026: same. Apostrophe difference logged separately as QA-181.,"Confirm the shared Place ID is acceptable, or obtain a separate record for one side.",Google Maps,Medium,False,QA-096,Resolved,2 Nice to have before launch
