year,rank,list_type,hotel_name,city,country,source_url,source_note
2023,1,top_50,Passalacqua,Moltrasio,Italy,https://joinpearl.co/lists/2023-worlds-50-best-hotels,"Secondary aggregator (medium confidence) - ranks 1-5 cross-verified against Forbes 2023 coverage snippet, which independently confirms this exact order"
2023,2,top_50,Rosewood Hong Kong,Hong Kong,Hong Kong,https://joinpearl.co/lists/2023-worlds-50-best-hotels,Cross-verified against Forbes 2023 snippet
2023,3,top_50,Four Seasons Bangkok at Chao Phraya River,Bangkok,Thailand,https://joinpearl.co/lists/2023-worlds-50-best-hotels,Cross-verified against Forbes 2023 snippet
2023,4,top_50,The Upper House,Hong Kong,Hong Kong,https://joinpearl.co/lists/2023-worlds-50-best-hotels,Cross-verified against Forbes 2023 snippet
2023,5,top_50,Aman Tokyo,Tokyo,Japan,https://joinpearl.co/lists/2023-worlds-50-best-hotels,Cross-verified against Forbes 2023 snippet
2023,6,top_50,La Mamounia,Marrakech,Morocco,https://joinpearl.co/lists/2023-worlds-50-best-hotels,Secondary aggregator only - not independently cross-verified
2023,7,top_50,Soneva Fushi,Eydhafushi,Maldives,https://joinpearl.co/lists/2023-worlds-50-best-hotels,Secondary aggregator only
2023,8,top_50,One&Only Mandarina,Riviera Nayarit,Mexico,https://joinpearl.co/lists/2023-worlds-50-best-hotels,Secondary aggregator only
2023,9,top_50,Four Seasons Hotel Firenze,Florence,Italy,https://joinpearl.co/lists/2023-worlds-50-best-hotels,Secondary aggregator only
2023,10,top_50,Mandarin Oriental Bangkok,Bangkok,Thailand,https://joinpearl.co/lists/2023-worlds-50-best-hotels,Secondary aggregator only
2023,11,top_50,Capella Bangkok,Bangkok,Thailand,https://joinpearl.co/lists/2023-worlds-50-best-hotels,"Secondary aggregator only; independently corroborated by Forbes 2024 article stating Capella Bangkok ""climbed 10 places from No.11 in the 2023 list"" to become #1 in 2024 - confirms rank 11 in 2023"
2023,12,top_50,The Calile,Brisbane,Australia,https://joinpearl.co/lists/2023-worlds-50-best-hotels,Secondary aggregator only
2023,13,top_50,Chablé Yucatán,Mérida,Mexico,https://joinpearl.co/lists/2023-worlds-50-best-hotels,Secondary aggregator only
2023,14,top_50,Aman Venice,Venice,Italy,https://joinpearl.co/lists/2023-worlds-50-best-hotels,Secondary aggregator only
2023,15,top_50,Singita – Kruger National Park,Kruger National Park,South Africa,https://joinpearl.co/lists/2023-worlds-50-best-hotels,Secondary aggregator only
2023,16,top_50,Claridge's,London,United Kingdom,https://joinpearl.co/lists/2023-worlds-50-best-hotels,Secondary aggregator only
