source,source_type,purpose,access_method,notes
supabase/data/enrichment/michelin_netherlands_completion/genuinely_missing.csv,internal_authoritative_input,"Identity, star count, and address baseline for all 18 candidates (reused as-is, per task instruction not to re-run broad Michelin research)",local file read,"Produced by the prior Netherlands completion workstream; not modified."
supabase/data/enrichment/michelin_netherlands_completion/identity_review.csv,internal_authoritative_input,"Pre-existing volatility/ownership/hotel-relationship flags carried forward",local file read,"Not modified."
supabase/data/enrichment/michelin_netherlands_completion/manual_review.csv,internal_authoritative_input,"Cross-checked to confirm no name overlap between the 18 in-scope candidates and the 11 previously-rejected candidates",local file read,"Not modified."
public.cities (production),live_database,"City coverage re-audit (read-only) -- confirmed 6 EXISTS / 12 MISSING, no drift from the prior workstream's finding",supabase db query --linked (read-only select),"No writes issued."
public.hotels (production),live_database,"Hotel relationship check for 5 candidates with a plausible property relationship -- 0 matches among 17 NL hotel rows",supabase db query --linked (read-only select),"No writes issued."
public.restaurants (production),live_database,"Final duplicate safety check -- name-based ILIKE sweep plus a 500m coordinate-radius sweep (ST_DWithin) against all resolved candidate coordinates",supabase db query --linked (read-only select),"No writes issued."
nominatim.openstreetmap.org,geocoding_api,"Structured address-level and free-text venue-level geocoding for all 18 candidates, plus 6 narrow follow-up queries to resolve specific conflicts (Huize Lindenoord, Strandhotel, Boulevard de Wielingen 49)",direct HTTPS request via Python urllib with a descriptive User-Agent,"Isolated to this folder's own geocoding_cache.json / geocode_raw_results.json / geocode_followup_results.json -- does NOT read or write michelin_bulk_location_enrichment/geocoding_cache.json (the Belgium/France workstream's cache). Paced at 1.1s between requests, well under Nominatim's usage-policy floor of 1 req/sec. 24 total requests across the whole task."
supabase/migrations/20260805141519_production_schema_v1.sql,internal_schema_reference,"Confirmed exact cities table schema (id, country_code, name, postal_municipality, region, michelin_guide_edition) and its real unique index (country_code, name, coalesce(region,'')) before drafting any proposed city rows or the prepared migration artifact",local file read,"Not modified."
supabase/migrations/20260812100000_expand_michelin_city_coverage.sql,internal_convention_reference,"Confirmed the existing project convention for city-only, idempotent, ON CONFLICT-based migrations (used by the Belgium/France city-coverage workstream) so the prepared NL artifact follows the same pattern",local file read,"Not modified -- read only, for convention reference."
entreemagazine.nl / golfbusinesstechnology.com / iagto.com / gault-millau.nl / dinestar.nl / visitbrabant.com,reputable_secondary_press,"Targeted re-verification of the Noble Kitchen/Nami MANUAL_REVIEW conflict -- confirmed a 2026-05-02 rebrand at the same address, same chef, star retained.",WebSearch + WebFetch,"Narrowly scoped to resolving this one candidate's flagged conflict, not new broad Michelin research."
amsterdamsights.com / entreemagazine.nl / missethoreca.nl / mastersexpo.com / derestaurantkrant.nl / bcbgmagazine.nl,reputable_secondary_press,"Targeted re-verification of the Daalder MANUAL_REVIEW conflict -- confirmed the address (Lindengracht 90) is correct and current, reopened 2026-06-05/06-10 after Bistro Féline's closure.",WebSearch,"Narrowly scoped to resolving this one candidate's flagged conflict."
missethoreca.nl / derestaurantkrant.nl / made-in.be / en.eet.nu / air-republic.com,reputable_secondary_press + first_party,"Targeted re-verification of the AIRrepublic MANUAL_REVIEW conflict -- confirmed permanent closure 2024-03-30; official domain now redirects to an unrelated business (checked directly via WebFetch, HTTP 301 to emergencyvetservices.com).",WebSearch + WebFetch,"Narrowly scoped to resolving this one candidate's flagged conflict."
foursquare.com / en.eet.nu / oadguides.com / foodinspiration.com / demain.restaurant,reputable_secondary_press + first_party,"Targeted re-verification of the Pure C MANUAL_REVIEW conflict -- confirmed closure 2023-09-23 and successor restaurant 'Demain' at the same location under a different chef/star. Incidentally surfaced that Demain itself is reported closing 2026-05-31.",WebSearch + WebFetch,"Narrowly scoped to resolving this one candidate's flagged conflict; the Demain-closing finding is documented separately in existing_data_quality_flags.csv, not pursued further."
