candidate_id,canonical_name,address_given,geocode_source,resolved_latitude,resolved_longitude,coordinate_quality,addr_venue_distance_m,venue_address_consistency,evidence_poi_name,notes
nl_001,Merlet,"Duinweg 15, 1871 AC Schoorl",address_query,52.6996668,4.6942853,PROPERTY_EXACT,44.3,consistent_property_resolved,"Restaurant & Hotel Merlet","Address-level query resolved to the exact venue (combined restaurant+hotel), exact house number and postcode match. A separate free-text venue-name query returned a DIFFERENT, unrelated POI 44m away ('Merlet Training & Convention Centre', a conference venue on a different street) -- rejected per the venue-vs-address safeguard: name match alone is not location proof. Used the address-verified coordinate instead."
nl_002,Latour,"Koningin Astrid Boulevard 5, 2202 BK Noordwijk aan Zee",venue_query,52.2412489,4.4276191,VENUE_EXACT,36.4,consistent,"Latour","Venue-tagged restaurant POI found by name, 36m from the address-level result (Grand Hotel Huis ter Duin) -- within the same hotel/beach complex, consistent with the independently-verified property relationship. Passes the safeguard: name match corroborated by close location agreement."
nl_003,Basiliek,"Vischmarkt 57, 3841 BE Harderwijk",both_agree,52.3512612,5.6212898,VENUE_EXACT,0.0,consistent,"Basiliek","Address and venue queries returned the identical OSM node -- exact match."
nl_004,Restaurant Smink,"Van Harenstraat 37, 8471 JC Wolvega",address_query,52.8753130,5.9995125,ADDRESS_EXACT,194.6,conflict_venue_rejected,"(house, unnamed)","Address-level query resolves precisely to the given street/number/postcode (matches the source-cited 2024-2025 relocation to 'Huize Lindenoord'). A free-text venue query for 'Restaurant Smink' returned a DIFFERENT OSM POI 195m away on a different street with a different postcode (8471 LA vs given 8471 JC) -- almost certainly a stale, pre-relocation OSM tag. Rejected per the safeguard; used the address-verified coordinate. A confirmatory search for 'Huize Lindenoord' itself returned no OSM result (small venue, likely just not mapped by name)."
nl_005,De Vlindertuin,"Stationsweg 41, 9471 GK Zuidlaren",both_agree,53.0925510,6.6801383,VENUE_EXACT,0.0,consistent,"De Vlindertuin","Address and venue queries returned the identical OSM node -- exact match."
nl_006,Noble Kitchen,"Deutersestraat 39B, 5266 AW Cromvoirt",venue_query,,,CONFLICT,,resolved_not_a_conflict,"Nami","RESOLVED (see removed_not_genuinely_missing.csv). The 'Nami' POI OSM returned at this address is because Noble Kitchen itself rebranded to 'Nami' on 2026-05-02 -- same restaurant, same address, star retained. Not genuinely missing; candidate withdrawn from the import-eligible population entirely (it is not a new restaurant, it already exists in production as rest_0070, albeit under a likely-wrong stored address -- see existing_data_quality_flags.csv)."
nl_007,De Woage,"Meiboomplein 1, 7783 AT Gramsbergen",both_agree,52.6107177,6.6724803,VENUE_EXACT,0.0,consistent,"De Woage","Venue query matched by name with exact postcode agreement (source street spelling 'Meiboomplein' vs. OSM's 'Meiboomsplein' is a minor immaterial variant, same square). Carries forward the pre-existing MICHELIN_STATUS_VOLATILITY flag from identity_review.csv (recent Jan 2026 rebrand to 'Restobar De Woage') -- location is not the blocker here, but re-verify status before actual import."
nl_008,De Swarte Ruijter,"Holterbergweg 7, 7451 JL Holten",both_agree,52.2946330,6.4208221,PROPERTY_EXACT,0.0,consistent,"De Swarte Ruijter","Address and venue queries returned the identical OSM node, tagged as a hotel (combined restaurant+hotel property) -- exact match."
nl_009,'t Lansink,"C.T. Storkstraat 18, Hengelo (Overijssel)",both_agree,52.2596727,6.7822588,PROPERTY_EXACT,0.0,consistent,"'t Lansink","Address and venue queries returned the identical OSM node, tagged as a hotel. Independently confirms the Overijssel-province disambiguation already established via the Michelin URL slug in the parent workstream."
nl_010,De Bloemenbeek,"Beuningerstraat 6, 7587 LD De Lutte",both_agree,52.3198876,6.9989749,PROPERTY_EXACT,0.0,consistent,"Landhuishotel De Bloemenbeek","Address and venue queries returned the identical OSM node, tagged as a hotel -- exact match."
