hotel_code,name,field,current_value,proposed_value,evidence_source,confidence,status
hotel_23,Hotel Bareiss,website_url,,https://www.bareiss.com/en/,"Official hotel website, retrieved via WebFetch 2026-08-07",high,proposed
hotel_23,Hotel Bareiss,michelin_url,,https://guide.michelin.com/en/hotels-stays/baiersbronn/hotel-bareiss-13547,"MICHELIN Guide hotel page, confirmed via WebSearch snippet 2026-08-07 (direct fetch of guide.michelin.com blocked, HTTP 403)",medium,proposed
hotel_23,Hotel Bareiss,booking_url,,https://booking.bareiss.com/?culture=en,"Official hotel website 'BOOK NOW' link, retrieved via WebFetch 2026-08-07",high,proposed
hotel_24,Hotel Traube Tonbach,website_url,,https://www.traube-tonbach.de/en/,"Official hotel website, confirmed via WebSearch 2026-08-07",medium,proposed
hotel_24,Hotel Traube Tonbach,michelin_url,,https://guide.michelin.com/en/hotels-stays/baiersbronn/hotel-traube-tonbach-8972,"MICHELIN Guide hotel page, confirmed via WebSearch snippet 2026-08-07 (direct fetch blocked, HTTP 403)",medium,proposed
hotel_24,Hotel Traube Tonbach,booking_url,,https://www.traube-tonbach.de/en/reservation/,"Official hotel website reservation page, confirmed via WebSearch 2026-08-07",medium,proposed
hotel_25,Schloss Elmau Luxury Spa Retreat & Cultural Hideaway,website_url,,https://www.schloss-elmau.de/en/,"Official hotel website, confirmed via WebSearch 2026-08-07",high,proposed
hotel_25,Schloss Elmau Luxury Spa Retreat & Cultural Hideaway,michelin_url,,https://guide.michelin.com/en/hotels-stays/elmau/schloss-elmau-luxury-spa-retreat-cultural-hideaway-7287,"MICHELIN Guide hotel page, confirmed via WebSearch snippet 2026-08-07 (direct fetch blocked, HTTP 403)",medium,proposed
hotel_25,Schloss Elmau Luxury Spa Retreat & Cultural Hideaway,booking_url,,https://www.schloss-elmau.de/en/hotelbooking/,"Official hotel website booking page, confirmed via WebSearch 2026-08-07",medium,proposed
hotel_26,Hotel Vier Jahreszeiten,website_url,,https://www.fairmont.com/en/hotels/hamburg/fairmont-hotel-vier-jahreszeiten.html,"Official Fairmont brand website for the hotel (listed on MICHELIN/source file as 'Hotel Vier Jahreszeiten'; MICHELIN and Fairmont both use the 'Fairmont Hotel Vier Jahreszeiten' name for the same Hamburg property; matched on city+country+address), confirmed via WebSearch 2026-08-07",medium,proposed
