candidate_id,restaurant_name,country_code,coordinate_quality,address_status,identity_status,evidence_location,result,notes
be_003,The Jane,BE,VENUE_EXACT,ADDRESS_VERIFIED,IDENTITY_VERIFIED,"bulk_location_results.csv (address_source/coordinate_source fields, tagged 'reused from location spike')",PASS,"Provenance is inline, not a separate source_evidence.csv row -- a pre-existing structural gap flagged by the parent workstream itself, not a verification gap. Coordinate quality and identity/address status are independently machine-verified fields, not affected by where the provenance text lives."
be_005,Comme chez Soi,BE,VENUE_EXACT,ADDRESS_VERIFIED,IDENTITY_VERIFIED,bulk_location_results.csv (inline),PASS,"Same inline-evidence pattern as be_003."
be_030,Kelderman,BE,ADDRESS_EXACT,ADDRESS_VERIFIED,IDENTITY_VERIFIED,bulk_location_results.csv (inline),PASS,"Same inline-evidence pattern."
be_034,Sense,BE,VENUE_EXACT,ADDRESS_VERIFIED,IDENTITY_VERIFIED,bulk_location_results.csv (inline),PASS,"Same inline-evidence pattern. Also a known cross-country name-collision fixture (vs. Netherlands' rest_0098) -- independently re-confirmed distinct this session, see duplicate_audit.csv."
be_045,Goffin,BE,VENUE_EXACT,ADDRESS_VERIFIED,IDENTITY_VERIFIED,bulk_location_results.csv (inline),PASS,"Same inline-evidence pattern."
be_047,Hostellerie St-Nicolas,BE,PROPERTY_EXACT,ADDRESS_VERIFIED,IDENTITY_VERIFIED,bulk_location_results.csv (inline),PASS,"Same inline-evidence pattern."
fr_0001,Harmonie,FR,ADDRESS_EXACT,ADDRESS_VERIFIED,IDENTITY_VERIFIED,bulk_location_results.csv (inline),PASS,"Same inline-evidence pattern."
fr_0010,Bacôve,FR,VENUE_EXACT,ADDRESS_VERIFIED,IDENTITY_VERIFIED,bulk_location_results.csv (inline),PASS,"Same inline-evidence pattern."
fr_0017,Assiette Champenoise,FR,PROPERTY_EXACT,ADDRESS_VERIFIED,IDENTITY_VERIFIED,bulk_location_results.csv (inline),PASS,"Same inline-evidence pattern."
fr_0024,Le Royal,FR,PROPERTY_EXACT,ADDRESS_VERIFIED,IDENTITY_VERIFIED,bulk_location_results.csv (inline),PASS,"Same inline-evidence pattern."
fr_0026,Yozora,FR,PROPERTY_EXACT,ADDRESS_VERIFIED,IDENTITY_VERIFIED,bulk_location_results.csv (inline),PASS,"Same inline-evidence pattern."
fr_0028,Les Voiles d'Or,FR,VENUE_EXACT,ADDRESS_VERIFIED,IDENTITY_VERIFIED,bulk_location_results.csv (inline),PASS,"Same inline-evidence pattern."
fr_0029,Alcôve,FR,PROPERTY_EXACT,ADDRESS_VERIFIED,IDENTITY_VERIFIED,bulk_location_results.csv (inline),PASS,"Same inline-evidence pattern."
fr_0038,L'Odas,FR,VENUE_EXACT,ADDRESS_VERIFIED,IDENTITY_VERIFIED,bulk_location_results.csv (inline),PASS,"Same inline-evidence pattern."
fr_0040,Villa René Lalique,FR,PROPERTY_EXACT,ADDRESS_VERIFIED,IDENTITY_VERIFIED,bulk_location_results.csv (inline),PASS,"Same inline-evidence pattern."
fr_0043,Villa9Trois,FR,ADDRESS_EXACT,ADDRESS_VERIFIED,IDENTITY_VERIFIED,bulk_location_results.csv (inline),PASS,"Same inline-evidence pattern."
