proposed_cuisine,restaurant_codes,restaurant_names,evidence_source,confidence,closest_existing_cuisines,genuinely_new_or_duplicate_risk,classification,notes
Asturian Creative,rest_0341,Casa Marcial,"foodswinesfromspain.com 'Asturian Restaurant Casa Marcial Receives Three Michelin stars' (Creative, Asturian cuisine, reinterpreting tradition with contemporary technique)",high,"Catalan Creative; Spanish Creative; Dutch Creative","Genuinely new. Follows the exact, already-established '[Region] Creative' pattern (3 existing instances for different Spanish/Dutch regions); Asturias is a distinct Spanish region from Catalonia, not a synonym.",GREEN_NEW,
Creative,rest_0331,Disfrutar,"travelsforstars.com review; hangphamweddings.com (cuisine explicitly classified as Creative)",high,"Creative / Gastrobar; Catalan/Spanish/Dutch Creative; Creatief (Dutch)","Bare single-word tag. No exact existing match. Standalone single-word cuisine tags already exist elsewhere in the table (Contemporary, Fusion, Seafood, Vegetarian), so this is consistent with established convention rather than unprecedented.",GREEN_NEW,
Creative Seafood,"rest_0336, rest_0431","Aponiente, RE-NAA","andalucia.com / foodswinesfromspain.com (Aponiente, experimental seafood); honestcooking.com / fjordnorway.com (RE-NAA, Creative and Seafood, Rogaland coastline ingredients)",high,"Adriatic/Basque/Dutch/French Seafood; Seafood; Creative / Gastrobar","Genuinely new. Follows the established '[Descriptor] Seafood' pattern (4 existing regional instances); no existing 'Creative Seafood' compound. One value, two restaurants.",GREEN_NEW,
French Haute Cuisine,rest_0434,Robuchon au Dôme,"koktailmagazine.com; jrobuchon.com (haute French cuisine, signature Caviar de Sologne, pommes purée)",high,"Classic French; French Classic; Traditional French; Modern Classic French","Highest duplicate risk in this batch. 'Haute cuisine' is a real, specific culinary register, but this is the most crowded French cluster in the table (23 existing French-related values) and 'Classic French'/'Traditional French' cover closely adjacent ground. A reviewer may reasonably prefer mapping to one of those instead of adding a fourth near-synonym.",AMBER,Needs human decision: keep distinct or map to Classic French / Traditional French.
Italian Creative Contemporary,rest_0385,Casa Perbellini 12 Apostoli,"reportergourmet.com; travelsforstars.com (Creative, Contemporary cuisine, tribute to Italian tradition)",high,"Italian Contemporary; Italian Innovative","Real duplicate risk: 'Italian Contemporary' is assigned to a different 3-star Italian restaurant (Da Vittorio, rest_0379) in this same research batch. Near-identical wording for two different restaurants — one with 'Creative' inserted, one without — raises the possibility of inconsistent labeling from the source research rather than a deliberate distinction.",AMBER,Needs human decision: keep distinct or map to Italian Contemporary.
Japanese / Edomae Sushi,rest_0445,Sushi Shikon,"hangphamweddings.com (textbook Edomae sushi, Tokyo Ginza-style discipline)",high,"Japanese / Sushi; Sushi; Japanese","Closest structural near-duplicate in the batch: identical 'Japanese / X' pattern to the existing 'Japanese / Sushi', with only the specific style name added. Edomae is a real, distinct traditional style (not a generic synonym for sushi), so the distinction is defensible, but a reviewer may prefer consistency with the existing tag.",AMBER,Needs human decision: keep distinct or map to Japanese / Sushi.
Kaiseki,rest_0485,Kikunoi Honten,"magical-trip.com 'Kikunoi Honten: Michelin-Starred Japanese Restaurant in Kyoto' (kaiseki cuisine under chef Yoshihiro Murata)",high,"(none — zero word overlap with any existing value)","Unambiguously new. Kaiseki is a standard, unambiguous Japanese culinary term with no synonym anywhere in the existing 146-value table.",GREEN_NEW,
Singaporean Contemporary,rest_0463,JL Studio,"sethlui.com 'Singaporean restaurant...just earned 3 Michelin stars in Taiwan'; taiwanfoodie.org",high,"Korean/Spanish/Chilean/... Contemporary (20+ '[Nationality] Contemporary' instances)","Genuinely new. No existing Singaporean-anything in the table; fits the extremely well-established '[Nationality] Contemporary' naming convention exactly.",GREEN_NEW,
Taiwanese Contemporary,rest_0462,Taïrroir,"scmp.com 'indigenous Taiwanese cuisine recognised with award of third Michelin star to Taipei's Taïrroir'; creatorslab.co",high,"'Taiwanees' (Dutch-language tag used for Netherlands-based restaurants elsewhere in the table); '[Nationality] Contemporary' pattern","Lexically similar to 'Taiwanees' but NOT a duplicate: 'Taiwanees' is the Dutch-locale word used only for Dutch/Netherlands restaurants throughout this table (alongside Chinees, Italiaans, Japans, Koreaans, Mexicaans, Spaans, etc.) — a completely different use-case from an English tag for an actual Taipei-based 3-star restaurant. Correctly not merged despite the lexical similarity.",GREEN_NEW,
Taizhou Chinese,rest_0471,Xin Rong Ji (Xinyuan South Road),"scmp.com 'Michelin Guide Beijing gives three stars to Xin Rong Ji' (Taizhou/Zhejiang cuisine, East China Sea seafood)",high,"Contemporary Chinese; Chinees (Dutch); Thai-Chinese","Genuinely new. Taizhou is a specific city/region in Zhejiang province — a real regional distinction, clearly narrower than generic 'Contemporary Chinese'.",GREEN_NEW,
