country,distinct_w50b_hotels,ranking_appearances,in_2025_top50,michelin_key_coverage,key_coverage_evidence
Malaysia,1,1,0,not_covered,"Explicitly confirmed NOT included in the Oct 2025 Oceania/Asia launch (""Malaysia was not included in this 2025 announcement"")"
Oman,1,2,0,unresolved,"UAE/Middle East launch mentions ""UAE, Qatar, Saudi Arabia, and five other countries"" - Oman plausibly one of them but not independently confirmed in this pass"
Sweden,1,1,0,unresolved,"Not found in any search this pass - genuinely unknown, not assumed either way"
United States,11,16,2,confirmed,"April 2024 debut, updated Oct 2025 global reveal"
France,11,16,4,confirmed,April 2024 debut (one of the first 3 markets)
United Kingdom,9,16,5,confirmed,"Oct 2025 debut (with Ireland) - 124 Keys (13 Three-Key, 43 Two-Key, 82 One-Key)"
Thailand,7,15,3,confirmed,"July 2024 debut, 2nd-year update Oct 2025 - 62 hotels (6 Three-Key, 21 Two-Key, 35 One-Key)"
Mexico,7,13,4,confirmed,"April 2024 debut, updated Oct 2025 - 87 hotels total"
Hong Kong,6,9,3,confirmed,"Oct 2025 debut (first-ever) - 9 hotels, incl. Rosewood Hong Kong at Three Keys"
India,5,6,1,confirmed,"Oct 2025 debut (first-ever), part of the global reveal's new-market list"
Australia,4,6,2,confirmed,"Oct 2025 debut (first-ever, part of Oceania launch) - 35 hotels"
Maldives,3,5,1,confirmed,Oct 2025 debut (first-ever)
Indonesia,3,7,2,confirmed,"Oct 2025 debut (first-ever) - 33 hotels, mostly Bali"
United Arab Emirates,3,6,3,confirmed,"Oct 2025 debut (first-ever Middle East selection) - 13 Dubai hotels, more in Abu Dhabi"
Morocco,2,6,2,confirmed,"Oct 2025 debut, part of Africa's 11-destination launch"
South Africa,2,5,1,confirmed,"Oct 2025 debut, part of Africa's 11-destination launch"
Greece,2,2,1,confirmed,"Oct 2025 debut (""Greece's Keys debut in 2025"")"
St. Barthélemy (France),2,3,0,confirmed,"Oct 2025 debut, part of the Caribbean/Central America launch (""particularly strong representation in... Saint Barth"")"
Sri Lanka,1,3,0,confirmed,"Oct 2025 debut, explicitly named in the global reveal's new-market list"
French Polynesia,1,1,0,confirmed,"Oct 2025 debut, part of Oceania launch - The Brando at Three Keys"
Fiji,1,1,0,confirmed,"Oct 2025 debut, part of Oceania launch"
China,1,1,1,confirmed,"Oct 2025 debut (mainland China, first-ever) - Beijing and Shanghai selections confirmed"
Costa Rica,1,1,0,confirmed,"Oct 2025 debut, part of the Caribbean/Central America launch"
Peru,1,1,0,confirmed,"Oct 2025 debut, explicitly named in the global reveal's new-market list"
New Zealand,1,1,0,confirmed,"Oct 2025 debut, part of Oceania launch - 19 properties"
Turkey,1,1,0,confirmed,"Oct 2025 debut, explicitly named in the global reveal's new-market list"
