restaurant_code,name,field,current_value,proposed_value,evidence_source,confidence,status
rest_0002,ABAC,website_url,,https://abacbarcelona.com/en/restaurante/,"WebSearch: abacbarcelona.com/en/restaurante/ (official hotel/restaurant site), retrieved 2026-08-07",medium,proposed
rest_0004,Alain Ducasse at The Dorchester,website_url,,https://www.alainducasse-dorchester.com/,"WebSearch result: alainducasse-dorchester.com, retrieved 2026-08-07",high,proposed
rest_0037,De Librije,website_url,,https://www.librije.com/en/de-librije/,"WebSearch result: librije.com official site, retrieved 2026-08-07",high,proposed
rest_0044,DiverXO,website_url,,https://diverxo.com/,"WebSearch result naming diverxo.com as official site, retrieved 2026-08-07",medium,proposed
rest_0045,Eleven Madison Park,website_url,,https://www.elevenmadisonpark.com/,"WebSearch result: elevenmadisonpark.com, retrieved 2026-08-07",high,proposed
rest_0053,Jungsik New York,website_url,,https://www.jungsik.com/,"WebSearch result: jungsik.com official site, retrieved 2026-08-07",high,proposed
rest_0053,Jungsik New York,booking_url,,https://www.exploretock.com/jungsik,"WebSearch result: exploretock.com/jungsik (Tock reservation platform), retrieved 2026-08-07",medium,proposed
rest_0058,Lasarte,website_url,,https://www.restaurantlasarte.com/en,"WebSearch result: restaurantlasarte.com official site, retrieved 2026-08-07",high,proposed
rest_0059,Le Bernardin,website_url,,https://www.le-bernardin.com/,"WebSearch result citing Wikipedia/Yelp listing le-bernardin.com as official site, retrieved 2026-08-07",medium,proposed
rest_0060,Le Gabriel - La Reserve Paris,website_url,,https://www.lareserve-paris.com/en/restaurants-bars/restaurant-le-gabriel/,"lareserve-paris.com official hotel site restaurant page, retrieved 2026-08-07",high,proposed
rest_0078,Osteria Francescana,website_url,,https://osteria-francescana.net/,"WebSearch result: osteria-francescana.net official site, retrieved 2026-08-07",high,proposed
rest_0080,Per Se,website_url,,https://thomaskeller.com/new-york-new-york/per-se/restaurant/,"thomaskeller.com official restaurant group site, retrieved 2026-08-07",high,proposed
rest_0124,Les Amis,website_url,,https://www.lesamis.com.sg/,"WebSearch result: lesamis.com.sg/about-us official site, retrieved 2026-08-07",high,proposed
rest_0125,Odette,website_url,,https://odetterestaurant.com/,"WebSearch result: odetterestaurant.com official site, retrieved 2026-08-07",high,proposed
rest_0126,Zen,website_url,,https://www.restaurantzen.com/,"WebSearch result: restaurantzen.com official site, retrieved 2026-08-07",high,proposed
rest_0127,FZN by Bjorn Frantzen,website_url,,https://www.restaurantfzn.com/,"WebSearch result: restaurantfzn.com official site, retrieved 2026-08-07",high,proposed
rest_0127,FZN by Bjorn Frantzen,booking_url,,https://www.sevenrooms.com/experiences/fzn/fzn-by-bj-rn-frantz-n-5316116070498304,"WebSearch result: sevenrooms.com FZN booking experience page, retrieved 2026-08-07",medium,proposed
rest_0128,Tresind Studio,website_url,,https://tresindstudio.com/,"WebSearch result: tresindstudio.com official site, retrieved 2026-08-07",high,proposed
rest_0154,Zilte,website_url,,https://www.zilte.be/en/,"WebSearch result: zilte.be official site, retrieved 2026-08-07",high,proposed
rest_0155,Boury,website_url,,https://www.restaurantboury.be/,"WebSearch result: restaurantboury.be official site, retrieved 2026-08-07",high,proposed
rest_0175,Restaurant Bareiss,website_url,,https://www.bareiss.com/en/gastronomy.html,"WebSearch result: bareiss.com official hotel site gastronomy page, retrieved 2026-08-07",high,proposed
rest_0175,Restaurant Bareiss,michelin_url,,https://guide.michelin.com/us/en/baden-wurttemberg/baiersbronn/restaurant/restaurant-bareiss,"WebSearch result surfacing guide.michelin.com listing, retrieved 2026-08-07",high,proposed
rest_0178,Waldhotel Sonnora,michelin_url,,https://guide.michelin.com/en/rheinland-pfalz/dreis/restaurant/waldhotel-sonnora,"WebSearch result surfacing guide.michelin.com listing, retrieved 2026-08-07",high,proposed
rest_0179,ES:SENZ,michelin_url,,https://guide.michelin.com/gb/en/bayern/grassau/restaurant/es-senz,"WebSearch result surfacing guide.michelin.com listing (query params stripped), retrieved 2026-08-07",medium,proposed
rest_0180,Restaurant Haerlin,website_url,,https://restaurant-haerlin.de/en/home.html,"WebSearch result: restaurant-haerlin.de official site, retrieved 2026-08-07",high,proposed
rest_0181,The Table Kevin Fehling,michelin_url,,https://guide.michelin.com/en/hamburg-region/hamburg/restaurant/the-table-kevin-fehling,"WebSearch result surfacing guide.michelin.com listing, retrieved 2026-08-07",high,proposed
rest_0184,Victor's Fine Dining by Christian Bau,website_url,,https://www.victors-fine-dining.de/en/restaurant,"WebSearch result: victors-fine-dining.de official site, retrieved 2026-08-07",high,proposed
rest_0184,Victor's Fine Dining by Christian Bau,michelin_url,,https://guide.michelin.com/us/en/saarland/perl/restaurant/victor-s-fine-dining-by-christian-bau,"WebSearch result surfacing guide.michelin.com listing, retrieved 2026-08-07",high,proposed
rest_0185,schanz. restaurant.,website_url,,https://www.schanz-restaurant.de/en/,"WebSearch result: schanz-restaurant.de official site, retrieved 2026-08-07",high,proposed
rest_0185,schanz. restaurant.,michelin_url,,https://guide.michelin.com/en/rheinland-pfalz/piesport/restaurant/schanz-restaurant,"WebSearch result surfacing guide.michelin.com listing, retrieved 2026-08-07",high,proposed
rest_0183,Tohru in der Schreiberei,website_url,,https://www.schreiberei-muc.de/tohru,"WebSearch result: schreiberei-muc.de/tohru official site, retrieved 2026-08-07",high,proposed
rest_0183,Tohru in der Schreiberei,michelin_url,,https://guide.michelin.com/us/en/bayern/mnchen/restaurant/tohru-in-der-schreiberei,"WebSearch result surfacing guide.michelin.com listing, retrieved 2026-08-07",high,proposed
