field,claim,source_type,source_url,classification,publication_safe,notes
display_name,"Lucas de Jager",official_website,https://jagers-catering.nl,VERIFIED_PRIMARY,YES,"Name used consistently across homepage and site branding (logo file named for him)."
business_name,"Jagers Catering",official_website,https://jagers-catering.nl,VERIFIED_PRIMARY,YES,"Consistent across site domain, page titles, and contact page."
role_framing,"'Het gezicht achter de smaak' (the face behind the taste) -- presented as the personal chef/face of the business, not a formal title",official_website,https://jagers-catering.nl,VERIFIED_PRIMARY,YES,"No formal title (Owner/Founder/Head Chef) explicitly stated on the site itself; PrivateChef schema has no title/role field for this business, so not applicable to any DB column regardless."
role_framing_secondary,"'Lucas de Jager - Eigenaar Jagerscatering' (Owner)",linkedin_snippet,https://nl.linkedin.com/in/lucas-de-jager-94687b265,VERIFIED_PRIMARY,NO,"Only visible via search-result snippet; full profile blocked by LinkedIn (HTTP 999, anti-bot). Self-reported, and PrivateChef schema has no title field, so not used for any proposed value -- recorded for completeness only."
home_city,"Breda ('Mise en place keuken in Breda')",official_website,https://jagers-catering.nl,VERIFIED_PRIMARY,YES,"Stated on homepage and ons-concept page identically."
home_country_code,NL,official_website,https://jagers-catering.nl,VERIFIED_PRIMARY,YES,"Netherlands address/phone country code, consistent throughout site."
service_area_text,"'werkzaam door heel Nederland en België' (operates throughout the Netherlands and Belgium)",official_website,https://jagers-catering.nl,VERIFIED_PRIMARY,YES,"Repeated on homepage and FAQ page identically."
travel_available,true,official_website,https://jagers-catering.nl/veelgestelde-vragen/,VERIFIED_PRIMARY,YES,"FAQ states on-location service throughout NL/Belgium and lists a per-km travel cost (EUR 0.35/km) -- travel is core to the service model."
wine_pairing_available,true,official_website,https://jagers-catering.nl/wijn-arrangement/,VERIFIED_PRIMARY,YES,"Dedicated 'Wijn arrangement' page describing per-course pairing and single-bottle options."
wine_pedigree_claim,"'sommelier in een tweesterrenrestaurant' / homepage names it as Parkheuvel specifically",official_website,https://jagers-catering.nl (homepage + /wijn-arrangement/),VERIFIED_PRIMARY,NO,"Single first-party source only (Jagers Catering's own site). No independent (Parkheuvel-side or third-party publication) confirmation found -- see parkheuvel_provenance row below. Not proposed for the public wine_note; kept general instead."
parkheuvel_provenance,"Restaurant: Parkheuvel. City: Rotterdam. Function: Service / Front of House. Public role: Service. Duration: 2.5 years. Chef/kitchen role: NO. Permission to mention: YES.",user_supplied,,DIRECTLY_CONFIRMED_BY_CHEF,YES,"Step 2B (supersedes the prior VERIFIED_PRIMARY/NO row below): Lucas has directly confirmed his Parkheuvel experience and given permission to mention it. This now meets the independent-verification bar (direct chef confirmation was always listed in PRIVATE_CHEFS.md's own publication standard as sufficient evidence). role='Service', period_text='2.5 years' -- no more specific title, no exact dates, no kitchen/chef responsibilities are claimed or invented; the confirmation supports exactly these two facts and nothing more precise."
