gm_candidate_id,name,city,country,recommendation,likely_already_michelin_starred,reason
gm_001,Le Meurice - Alain Ducasse,Paris,France,READY_TO_ADD,likely,"Full street address present (228 Rue de Rivoli, 75001 Paris). Widely known as a current Michelin-starred restaurant -- verify actual current Michelin status against production before choosing inclusion_reason; if already Michelin-recognized, route through the existing Michelin catalogue-expansion process instead of a new gault_millau-only pathway."
gm_002,L'Ambroisie,Paris,France,READY_TO_ADD,likely,"Full street address present (9 Place des Vosges, 75004 Paris). Widely known as a current 3-star Michelin restaurant -- verify current Michelin status before choosing inclusion_reason; likely belongs in the Michelin catalogue-expansion process, not here."
gm_003,Restaurant Guy Savoy,Paris,France,READY_TO_ADD,likely,"Full street address present (11 quai de Conti, 75006 Paris). Widely known as a current 3-star Michelin restaurant -- verify before choosing inclusion_reason."
gm_004,L'Arpège,Paris,France,READY_TO_ADD,likely,"Full street address present (84 Rue de Varenne, 75007 Paris). Widely known as a current 3-star Michelin restaurant (Alain Passard) -- verify before choosing inclusion_reason."
gm_005,Pierre Gagnaire,Paris,France,READY_TO_ADD,likely,"Full street address present (6 Rue Balzac, 75008 Paris). Toques d'Or classification is itself only 'implied' in the source data (confidence: medium) -- confirm the Toques d'Or status independently before import even if Michelin status is separately resolved."
gm_006,AM par Alexandre Mazzia,Marseille,France,READY_TO_ADD,likely,"Full street address present. Widely known as a current 3-star Michelin restaurant -- verify before choosing inclusion_reason."
gm_007,Alléno Paris – Pavillon Ledoyen,Paris,France,READY_TO_ADD,likely,"Full address + official website present (yannick-alleno.com). Widely known as a current Michelin-starred restaurant -- verify before choosing inclusion_reason."
gm_009,Le 1947 à Cheval Blanc,Courchevel,France,READY_TO_ADD,likely,"Full address + official website present (chevalblanc.com). Widely known as a current 3-star Michelin restaurant -- verify before choosing inclusion_reason."
gm_010,La Table de Yoann Conte,Veyrier-du-Lac,France,READY_TO_ADD,likely,"Full address + official website present (yoann-conte.com). Widely known as a current Michelin-starred restaurant -- verify before choosing inclusion_reason."
gm_011,Le Cinq - Four Seasons George V,Paris,France,READY_TO_ADD,likely,"Full address + official website present (fourseasons.com). Widely known as a current 3-star Michelin restaurant -- verify before choosing inclusion_reason."
gm_012,Le Bois sans feuilles - Maison Troisgros,Ouches,France,READY_TO_ADD,likely,"Full address + official website present (troisgros.fr). Widely known as a current 3-star Michelin restaurant (Troisgros family) -- verify before choosing inclusion_reason."
