candidate_id,canonical_name,address_verified,city_status,coordinate_quality,venue_address_consistency,notes
nl_001,Merlet,yes,CITY_MISSING,NOT_FOUND,N/A -- no venue-level geocoder result was obtained to check for consistency,"No geocoding attempt was made this pass. The parallel Belgium/France location-enrichment workstream already established, via three independent good-faith attempts against a known, complete, unambiguous address, that this environment has no reliable Google Place ID / coordinate lookup capability. Repeating that experiment here would not produce a different result and was not attempted, per instruction not to make further speculative attempts."
nl_002,Latour,yes,CITY_MISSING,NOT_FOUND,N/A -- no venue-level geocoder result was obtained to check for consistency,"No geocoding attempt was made this pass. The parallel Belgium/France location-enrichment workstream already established, via three independent good-faith attempts against a known, complete, unambiguous address, that this environment has no reliable Google Place ID / coordinate lookup capability. Repeating that experiment here would not produce a different result and was not attempted, per instruction not to make further speculative attempts."
nl_003,Basiliek,yes,EXISTS,NOT_FOUND,N/A -- no venue-level geocoder result was obtained to check for consistency,"No geocoding attempt was made this pass. The parallel Belgium/France location-enrichment workstream already established, via three independent good-faith attempts against a known, complete, unambiguous address, that this environment has no reliable Google Place ID / coordinate lookup capability. Repeating that experiment here would not produce a different result and was not attempted, per instruction not to make further speculative attempts."
nl_004,Restaurant Smink,yes,CITY_MISSING,NOT_FOUND,N/A -- no venue-level geocoder result was obtained to check for consistency,"No geocoding attempt was made this pass. The parallel Belgium/France location-enrichment workstream already established, via three independent good-faith attempts against a known, complete, unambiguous address, that this environment has no reliable Google Place ID / coordinate lookup capability. Repeating that experiment here would not produce a different result and was not attempted, per instruction not to make further speculative attempts."
nl_005,De Vlindertuin,yes,CITY_MISSING,NOT_FOUND,N/A -- no venue-level geocoder result was obtained to check for consistency,"No geocoding attempt was made this pass. The parallel Belgium/France location-enrichment workstream already established, via three independent good-faith attempts against a known, complete, unambiguous address, that this environment has no reliable Google Place ID / coordinate lookup capability. Repeating that experiment here would not produce a different result and was not attempted, per instruction not to make further speculative attempts."
nl_006,Noble Kitchen,yes,EXISTS,NOT_FOUND,N/A -- no venue-level geocoder result was obtained to check for consistency,"No geocoding attempt was made this pass. The parallel Belgium/France location-enrichment workstream already established, via three independent good-faith attempts against a known, complete, unambiguous address, that this environment has no reliable Google Place ID / coordinate lookup capability. Repeating that experiment here would not produce a different result and was not attempted, per instruction not to make further speculative attempts."
nl_007,De Woage,yes,CITY_MISSING,NOT_FOUND,N/A -- no venue-level geocoder result was obtained to check for consistency,"No geocoding attempt was made this pass. The parallel Belgium/France location-enrichment workstream already established, via three independent good-faith attempts against a known, complete, unambiguous address, that this environment has no reliable Google Place ID / coordinate lookup capability. Repeating that experiment here would not produce a different result and was not attempted, per instruction not to make further speculative attempts."
nl_008,De Swarte Ruijter,yes,CITY_MISSING,NOT_FOUND,N/A -- no venue-level geocoder result was obtained to check for consistency,"No geocoding attempt was made this pass. The parallel Belgium/France location-enrichment workstream already established, via three independent good-faith attempts against a known, complete, unambiguous address, that this environment has no reliable Google Place ID / coordinate lookup capability. Repeating that experiment here would not produce a different result and was not attempted, per instruction not to make further speculative attempts."
nl_009,'t Lansink,yes,CITY_MISSING,NOT_FOUND,N/A -- no venue-level geocoder result was obtained to check for consistency,"No geocoding attempt was made this pass. The parallel Belgium/France location-enrichment workstream already established, via three independent good-faith attempts against a known, complete, unambiguous address, that this environment has no reliable Google Place ID / coordinate lookup capability. Repeating that experiment here would not produce a different result and was not attempted, per instruction not to make further speculative attempts."
nl_010,De Bloemenbeek,yes,CITY_MISSING,NOT_FOUND,N/A -- no venue-level geocoder result was obtained to check for consistency,"No geocoding attempt was made this pass. The parallel Belgium/France location-enrichment workstream already established, via three independent good-faith attempts against a known, complete, unambiguous address, that this environment has no reliable Google Place ID / coordinate lookup capability. Repeating that experiment here would not produce a different result and was not attempted, per instruction not to make further speculative attempts."
