candidate_id,canonical_name,name_ilike_matches,radius_750m_matches,michelin_url_collision,classification,notes
nl_001,Merlet,0,0,no,NO_PRODUCTION_MATCH,"Fresh check, this session."
nl_002,Latour,0,0,no,NO_PRODUCTION_MATCH,"Fresh check, this session."
nl_003,Basiliek,0,1,no,NO_PRODUCTION_MATCH,"'t Nonnetje (rest_0146, 2*) 83.8m away -- Harderwijk's historic center is tiny; different name, different star count, confirmed distinct."
nl_004,Restaurant Smink,0,0,no,NO_PRODUCTION_MATCH,"Fresh check, this session."
nl_005,De Vlindertuin,0,0,no,NO_PRODUCTION_MATCH,"Fresh check, this session."
nl_007,De Woage,0,0,no,NO_PRODUCTION_MATCH,"Fresh check, this session."
nl_008,De Swarte Ruijter,0,0,no,NO_PRODUCTION_MATCH,"Fresh check, this session."
nl_009,'t Lansink,0,0,no,NO_PRODUCTION_MATCH,"Fresh check, this session."
nl_010,De Bloemenbeek,0,0,no,NO_PRODUCTION_MATCH,"Fresh check, this session."
nl_011,De Gieser Wildeman,0,0,no,NO_PRODUCTION_MATCH,"Fresh check, this session."
nl_012,De Moerbei,0,0,no,NO_PRODUCTION_MATCH,"Fresh check, this session."
nl_013,Bij Jef,0,0,no,NO_PRODUCTION_MATCH,"Fresh check, this session."
nl_014,Daalder,0,0,no,NO_PRODUCTION_MATCH,"Fresh check, this session."
nl_015,Graphite by Peter Gast,0,3,no,NO_PRODUCTION_MATCH,"Spectrum (rest_0144, 2*, 241.2m), The White Room by Jacob Jan Boerma (rest_0108, 1*, 384.2m), Flore (rest_0047, 2*, 603.1m) -- central Amsterdam is dense with Michelin venues; all clearly distinct names/identities, confirmed distinct."
nl_016,Zheng,0,0,no,NO_PRODUCTION_MATCH,"Fresh check, this session."
