gm_candidate_id,gm_name,gm_city,gm_country,classification,name_score,city_match_tier,existing_restaurant_code,existing_name,existing_city,match_notes
gm_001,Le Meurice - Alain Ducasse,Paris,France,NO_MATCH,0.000,none,,,,
gm_002,L'Ambroisie,Paris,France,NO_MATCH,0.000,none,,,,
gm_003,Restaurant Guy Savoy,Paris,France,NO_MATCH,0.000,none,,,,
gm_004,L'Arpège,Paris,France,NO_MATCH,0.000,none,,,,
gm_005,Pierre Gagnaire,Paris,France,NO_MATCH,0.000,none,,,,
gm_006,AM par Alexandre Mazzia,Marseille,France,NO_MATCH,0.000,none,,,,
gm_007,Alléno Paris – Pavillon Ledoyen,Paris,France,NO_MATCH,0.000,none,,,,
gm_008,Plénitude - Cheval Blanc Paris,Paris,France,EXACT,1.000,exact,rest_0304,Plénitude,Paris,"promoted from HIGH_CONFIDENCE 2026-08-11 review: identical address (8 Quai du Louvre, 75001 Paris) and matching website domain (chevalblanc.com)"
gm_009,Le 1947 à Cheval Blanc,Courchevel,France,NO_MATCH,0.000,none,,,,
gm_010,La Table de Yoann Conte,Veyrier-du-Lac,France,NO_MATCH,0.000,none,,,,
gm_011,Le Cinq - Four Seasons George V,Paris,France,NO_MATCH,0.000,none,,,,
gm_012,Le Bois sans feuilles - Maison Troisgros,Ouches,France,NO_MATCH,0.000,none,,,,
gm_013,Pic (Anne-Sophie Pic),Valence,France,NO_MATCH,0.000,none,,,,
gm_014,Passédat - Le Petit Nice,Marseille,France,NO_MATCH,0.000,none,,,,
gm_015,Épicure - Le Bristol Paris,Paris,France,NO_MATCH,0.000,none,,,,
gm_016,Restaurant Christopher Coutanceau,La Rochelle,France,NO_MATCH,0.000,none,,,,
gm_017,"Bras, Le Suquet",Laguiole,France,NO_MATCH,0.000,none,,,,
gm_018,Le Neuvième Art,Lyon,France,NO_MATCH,0.000,none,,,,
gm_019,"Une Table, au Sud",Marseille,France,NO_MATCH,0.000,none,,,,
gm_020,De Librije,Zwolle,Netherlands,EXACT,1.000,exact,rest_0037,De Librije,Zwolle,
gm_021,Brut172,Reijmerstok,Netherlands,EXACT,1.000,exact,rest_0018,Brut172,Reijmerstok,
gm_022,Ciel Bleu,Amsterdam,Netherlands,EXACT,1.000,exact,rest_0025,Ciel Bleu,Amsterdam,
gm_023,Tribeca,Heeze,Netherlands,EXACT,1.000,exact,rest_0110,Tribeca,Heeze,
gm_024,212,Amsterdam,Netherlands,REVIEW,1.000,exact,rest_0085,Restaurant 212,Amsterdam,"downgraded from HIGH_CONFIDENCE 2026-08-11 review: name/city containment is exact, but ADDRESS CONFLICT -- GM source gives Amstel 212, 1017 AH Amsterdam, catalogue gives Amsteldijk 212, 1079 LK Amsterdam; different streets and postal codes, several km apart. Name coincidence (both '212') is not sufficient to resolve this on its own -- needs a human check (e.g. Google Place ID comparison) before any award data is imported against rest_0085"
gm_025,De Lindenhof,Giethoorn,Netherlands,EXACT,1.000,exact,rest_0038,De Lindenhof,Giethoorn,
gm_026,Flore,Amsterdam,Netherlands,EXACT,1.000,exact,rest_0047,Flore,Amsterdam,
gm_027,Fred,Rotterdam,Netherlands,EXACT,1.000,exact,rest_0048,Fred,Rotterdam,
gm_028,GEM.,Gemert,Netherlands,EXACT,1.000,exact,rest_0049,GEM. by Soenil Bahadoer,Gemert,"promoted from HIGH_CONFIDENCE 2026-08-11 review: identical address (Kasteellaan 1, 5421 CB Gemert) and matching website domain (restaurantgem.com)"
gm_029,'t Nonnetje,Harderwijk,Netherlands,EXACT,1.000,exact,rest_0146,'t Nonnetje,Harderwijk,
gm_030,Azurite,Delft,Netherlands,NO_MATCH,0.000,none,,,,
gm_031,De Bokkedoorns,Overveen,Netherlands,EXACT,1.000,exact,rest_0030,De Bokkedoorns,Overveen,
gm_032,De Nieuwe Winkel,Nijmegen,Netherlands,EXACT,1.000,exact,rest_0040,De Nieuwe Winkel,Nijmegen,
gm_033,De Treeswijkhoeve,Waalre,Netherlands,EXACT,1.000,exact,rest_0041,De Treeswijkhoeve,Waalre,
gm_034,Parkheuvel,Rotterdam,Netherlands,EXACT,1.000,exact,rest_0079,Parkheuvel,Rotterdam,
gm_035,Boury,Roeselare,Belgium,EXACT,1.000,exact,rest_0155,Boury,Roeselare,
gm_036,L'air du temps,Eghezée (Liernu),Belgium,NO_MATCH,0.000,none,,,,
gm_037,The Jane,Antwerpen,Belgium,NO_MATCH,0.000,none,,,,
gm_038,Zilte,Antwerpen,Belgium,EXACT,1.000,exact,rest_0154,Zilte,Antwerp,
gm_039,Arabelle Meirlaen,Marchin,Belgium,NO_MATCH,0.000,none,,,,
gm_040,Bartholomeus,Knokke-Heist,Belgium,EXACT,1.000,exact,rest_0164,Bartholomeus,Knokke-Heist,
gm_041,De Jonkman,Brugge (Sint-Kruis),Belgium,EXACT,1.000,exact,rest_0169,De Jonkman,Bruges,
gm_042,Hertog Jan,Antwerpen,Belgium,HIGH_CONFIDENCE,1.000,exact,rest_0159,Hertog Jan at Botanic,Antwerp,"2026-08-11 review: NOT promoted -- GM address (Lange Gasthuisstraat 51) differs from catalogue address (Leopoldstraat 26). Plausibly explained by chef Gert De Mangeleer's known relocation of Hertog Jan into the Botanic Sanctuary Antwerp (catalogue name 'at Botanic' is consistent with this), but that explanation is not independently source-cited within this dataset -- kept at HIGH_CONFIDENCE pending a citable source, not upgraded on inference alone"
gm_043,Hof van Cleve,Kruisem,Belgium,EXACT,1.000,exact,rest_0165,Hof van Cleve,Kruisem,
gm_044,Nuance,Duffel,Belgium,EXACT,1.000,exact,rest_0161,Nuance,Duffel,
gm_045,Slagmolen,Oudsbergen,Belgium,NO_MATCH,0.000,none,,,,
gm_046,Bozar Restaurant,Bruxelles,Belgium,EXACT,1.000,exact,rest_0156,Bozar Restaurant,Brussels,
gm_047,Comme chez Soi,Bruxelles,Belgium,NO_MATCH,0.000,none,,,,
gm_048,Cuchara,Lommel,Belgium,EXACT,1.000,exact,rest_0166,Cuchara,Lommel,
gm_049,La Paix,Bruxelles (Anderlecht),Belgium,NO_MATCH,0.000,none,,,,
gm_050,Martino,Gent,Belgium,NO_MATCH,0.000,none,,,,
gm_051,Cheval Blanc by Peter Knogl,Basel,Switzerland,EXACT,1.000,exact,rest_0235,Cheval Blanc by Peter Knogl,Basel,
gm_052,Stucki / Tanja Grandits,Basel,Switzerland,EXACT,1.000,exact,rest_0245,Stucki - Tanja Grandits,Basel,
gm_053,"La Brezza, Eden Roc",Ascona,Switzerland,EXACT,1.000,exact,rest_0241,La Brezza,Ascona,"promoted from HIGH_CONFIDENCE 2026-08-11 review: identical address (Via Albarelle 16, 6612 Ascona); correctly distinct from gm_054's same-name restaurant in a different Swiss city"
gm_054,"La Brezza, Tschuggen Grand Hotel",Arosa,Switzerland,EXACT,1.000,exact,rest_0240,La Brezza,Arosa,"promoted from HIGH_CONFIDENCE 2026-08-11 review: identical address (Tschuggentorweg 1, 7050 Arosa); correctly distinct from gm_053's same-name restaurant in a different Swiss city"
gm_055,Restaurant de l'Hôtel de Ville de Crissier,Crissier,Switzerland,EXACT,1.000,exact,rest_0236,Restaurant de l'Hôtel de Ville,Crissier,"promoted from HIGH_CONFIDENCE 2026-08-11 review: identical address (Rue d'Yverdon 1, 1023 Crissier) and matching website domain (restaurantcrissier.com)"
gm_056,"The Restaurant, The Dolder Grand",Zürich,Switzerland,NO_MATCH,0.000,none,,,,
gm_057,Schloss Schauenstein,Fürstenau,Switzerland,EXACT,1.000,exact,rest_0237,Schloss Schauenstein,Fürstenau,
gm_058,Domaine de Châteauvieux,Satigny,Switzerland,NO_MATCH,0.000,none,,,,
gm_059,The Counter,Zürich,Switzerland,EXACT,1.000,exact,rest_0262,The Counter,Zurich,
gm_060,Des Trois Tours,Fribourg-Bourguillon,Switzerland,NO_MATCH,0.000,none,,,,
gm_061,JAN (Jan Hartwig),München,Germany,EXACT,1.000,exact,rest_0182,JAN,Munich,
gm_062,Restaurant Vendôme,Bergisch Gladbach,Germany,HIGH_CONFIDENCE,1.000,exact,rest_0189,Vendôme,Bergisch Gladbach,"2026-08-11 review: NOT promoted -- GM source has no address/website (gaultmillau.de unreachable, secondary-sourced), no corroborating signal beyond name+city available. Moot for the current launch scope: Germany is deferred (see review report §3)"
gm_063,Schwarzwaldstube,Baiersbronn,Germany,EXACT,1.000,exact,rest_0176,Schwarzwaldstube,Baiersbronn,
gm_064,Victor's Fine Dining by Christian Bau,Perl,Germany,EXACT,1.000,exact,rest_0184,Victor's Fine Dining by Christian Bau,Perl,
gm_065,Waldhotel Sonnora,Dreis,Germany,EXACT,1.000,exact,rest_0178,Waldhotel Sonnora,Dreis,
gm_066,Aqua,Wolfsburg,Germany,EXACT,1.000,exact,rest_0186,Aqua,Wolfsburg,
gm_067,es:senz,Grassau,Germany,EXACT,1.000,exact,rest_0179,ES:SENZ,Grassau,
gm_068,Horváth,Berlin,Germany,EXACT,1.000,exact,rest_0192,Horváth,Berlin,
gm_069,IKIGAI,Krün,Germany,EXACT,1.000,exact,rest_0207,IKIGAI,Krün,
gm_070,Lafleur,Frankfurt am Main,Germany,EXACT,1.000,exact,rest_0196,Lafleur,Frankfurt am Main,
gm_071,Restaurant Haerlin,Hamburg,Germany,EXACT,1.000,exact,rest_0180,Restaurant Haerlin,Hamburg,
gm_072,Rutz Restaurant,Berlin,Germany,HIGH_CONFIDENCE,1.000,exact,rest_0177,Rutz,Berlin,"2026-08-11 review: NOT promoted -- GM source has no address/website (gaultmillau.de unreachable, secondary-sourced), no corroborating signal beyond name+city available. Moot for the current launch scope: Germany is deferred (see review report §3)"
gm_073,schanz.restaurant,Piesport,Germany,EXACT,1.000,exact,rest_0185,schanz. restaurant.,Piesport,
gm_074,The Table Kevin Fehling,Hamburg,Germany,EXACT,1.000,exact,rest_0181,The Table Kevin Fehling,Hamburg,
gm_075,Restaurant Tim Raue,Berlin,Germany,HIGH_CONFIDENCE,1.000,exact,rest_0193,Tim Raue,Berlin,"2026-08-11 review: NOT promoted -- GM source has no address/website (gaultmillau.de unreachable, secondary-sourced), no corroborating signal beyond name+city available. Moot for the current launch scope: Germany is deferred (see review report §3)"
gm_076,Steirereck im Stadtpark,Wien,Austria,EXACT,1.000,exact,rest_0266,Steirereck im Stadtpark,Vienna,
gm_077,Amador,Wien,Austria,EXACT,1.000,exact,rest_0265,Restaurant Amador,Vienna,"promoted from HIGH_CONFIDENCE 2026-08-11 review: near-identical address (Grinzinger Straße 86 vs Grinzinger Str. 86, 1190 Wien -- abbreviation only) and matching website domain (restaurant-amador.com)"
gm_078,Landhaus Bacher,Mautern,Austria,EXACT,1.000,exact,rest_0272,Landhaus Bacher,Mautern an der Donau,
gm_079,Konstantin Filippou,Wien,Austria,EXACT,1.000,exact,rest_0282,Konstantin Filippou,Vienna,
gm_080,Silvio Nickol Gourmet Restaurant,Wien,Austria,EXACT,1.000,exact,rest_0284,Silvio Nickol Gourmet Restaurant,Vienna,
gm_081,Ikarus,Salzburg,Austria,EXACT,1.000,exact,rest_0275,Ikarus,Salzburg,
gm_082,Obauer,Werfen,Austria,EXACT,1.000,exact,rest_0280,Obauer,Werfen,
gm_083,Döllerer,Golling,Austria,EXACT,1.000,exact,rest_0267,Döllerer,Golling an der Salzach,
gm_084,Stüva,Ischgl,Austria,EXACT,1.000,exact,rest_0269,Stüva,Ischgl,
gm_085,Gourmet Restaurant Hubert Wallner,Dellach-Wörthersee,Austria,NO_MATCH,0.000,none,,,,
gm_086,Taubenkobel,Schützen am Gebirge,Austria,EXACT,1.000,exact,rest_0279,Taubenkobel,Schützen am Gebirge,
gm_087,Mraz & Sohn,Wien,Austria,EXACT,1.000,exact,rest_0283,Mraz & Sohn,Vienna,
