participant_display_name,match_status,restaurant_id,restaurant_code,canonical_name,city_name,country_code,current_michelin_stars,match_reasoning
Sergio y Javier Torres,EXACT_MATCH,DELIBERATELY_BLANK_SEE_NOTE,rest_0330,Cocina Hermanos Torres,Barcelona,ES,3,"Chef name + restaurant name both confirmed via official Michelin Guide listing (guide.michelin.com) and independent press; production catalogue holds an identically named restaurant in Barcelona with 3 Michelin stars, matching the 2026 Guide status found"
Julian Stieger,EXACT_MATCH,DELIBERATELY_BLANK_SEE_NOTE,rest_0271,Rote Wand Chef's Table,Lech am Arlberg,AT,2,"Independently confirmed Julian Stieger is head chef of Rote Wand Chef's Table (2 Michelin stars, Michelin Young Chef Award) via multiple sources including guide.michelin.com; production catalogue holds a matching restaurant/city/star count"
Vivien Durand,EXACT_MATCH,DELIBERATELY_BLANK_SEE_NOTE,rest_1223,Le Prince Noir - Vivien Durand,Lormont,FR,1,"Chef's own name is part of the restaurant's official name; independently confirmed 1 Michelin star via winepaths.com/guide.michelin.com; production catalogue holds a matching restaurant/city/star count"
Juanlu Fernández,EXACT_MATCH,DELIBERATELY_BLANK_SEE_NOTE,rest_0359,LÚ Cocina y Alma,Jerez de la Frontera,ES,2,"Independently confirmed via guide.michelin.com and Forbes that Juanlu (Juan Luis) Fernández is chef-owner of LÚ Cocina y Alma, 2 Michelin stars since 2024; production catalogue holds a matching restaurant/city/star count"
Paco Roncero,EXACT_MATCH,DELIBERATELY_BLANK_SEE_NOTE,rest_0363,Paco Roncero,Madrid,ES,2,"Eponymous restaurant, independently confirmed 2 Michelin stars via guide.michelin.com (2026 Guide España); production catalogue holds a matching restaurant/city/star count"
Iván Cerdeño,EXACT_MATCH,DELIBERATELY_BLANK_SEE_NOTE,rest_0372,Iván Cerdeño,Toledo,ES,2,"Eponymous restaurant, independently confirmed 2 Michelin stars via guide.michelin.com (2026 Guide España); production catalogue holds a matching restaurant/city/star count"
Emmanuel Renaut,NO_MATCH,,,,,,,"Chef of Flocons de Sel (Megève) — no restaurant matching this name/city exists anywhere in the production catalogue (checked directly)"
Riccardo Gaspari,NO_MATCH,,,,,,,"Chef of SanBrite (Cortina d'Ampezzo) — no matching restaurant in production catalogue"
Virgilio Martínez,NO_MATCH,,,,,,,"Chef of Central (Lima) — not in production catalogue; Peru has no official Michelin Guide, so even a hypothetical match would carry no Michelin-star value for the MICHELIN AT THIS EVENT section"
Iris Jordán,NO_MATCH,,,,,,,"Co-chef of Ansils (Anciles/Benasque) — no matching restaurant in production catalogue"
Dennys Teixeira,NO_MATCH,,,,,,,"Chef of La Coopérative — no matching restaurant in production catalogue"
Manolo Franco,NO_MATCH,,,,,,,"Chef-owner of La Casa de Manolo Franco (Valdemorillo, 1 Michelin star per the 2025 Guide) — genuine current Michelin-starred restaurant, but absent from the production catalogue; a real catalogue-expansion candidate"
Eric Marty,NO_MATCH,,,,,,,"Chef of Restaurant Eric Marty (Andorra la Vella) — Andorra has zero restaurants in the production catalogue"
José Antonio Guillermo,NO_MATCH,,,,,,,"Chef of Odetti Bistro (Andorra) — Andorra has zero restaurants in the production catalogue"
Roger Biosca,NO_MATCH,,,,,,,"Chef of Hotel de l'Isard (Andorra) — Andorra has zero restaurants in the production catalogue"
Marc Mora,NO_MATCH,,,,,,,"Chef of És Andorra del Park Hotel (Andorra) — Andorra has zero restaurants in the production catalogue"
