hotel_name_variants,city,country,operating_status,official_website,google_place_id,latitude,longitude,current_michelin_key_status,key_confidence,historical_key_status,w50b_appearances,qualifies_via,recommendation,notes
Passalacqua,Moltrasio,Italy,open,https://www.passalacqua.it/en/,unresolved - needs Google Maps/Places access,unresolved,unresolved,3 Keys,high (2 independent secondary sources + confirmed guide.michelin.com listing page exists; not yet cross-checked against a direct guide.michelin.com page fetch since the site blocks automated fetching),"Hotel opened 2022; Michelin Keys launched 2024, so no pre-2024 Key history is possible for this property by construction",2023 rank 1 (World's Best Hotel); 2024 rank 2; 2025 rank 4,MICHELIN_KEY (existing rule - not a new-scope case),"ADD under existing Key-hotel rule once address/coordinates/Place ID are independently verified. This is a pure data-collection gap in the original catalogue build, not a scope-rule question.",The World's Best Hotel 2023. Ranked all 3 published years. Highest-profile gap in the entire dataset.
Four Seasons Hotel Firenze / Four Seasons Firenze,Florence,Italy,open,unresolved - not directly confirmed in this pass (only guide.michelin.com and press.fourseasons.com URLs surfaced),unresolved,unresolved,unresolved,3 Keys,medium-high (found via a secondary 'Italy 3-Key hotels' aggregator listing; guide.michelin.com's own page for this hotel exists but exact Key count was not independently re-confirmed via a second primary-adjacent source),No pre-2024 Key history possible (Keys launched 2024),2023 rank 9; 2024 rank 19; 2025 rank 9,MICHELIN_KEY (existing rule - not a new-scope case),"ADD under existing Key-hotel rule once independently verified. Same data-collection-gap pattern as Passalacqua.",Confirmed the same physical hotel appears under 2 name spellings across years (2023 uses 'Hotel Firenze' word order; 2024-2025 drop it) - both refer to one property.
Aman Tokyo,Tokyo,Japan,open,https://www.aman.com/hotels/aman-tokyo,unresolved - needs Google Maps/Places access,unresolved,unresolved,1 Key,medium-high (Japan-focused secondary sources covering the July 2024 Michelin Key Japan announcement; guide.michelin.com's own page exists but exact tier not independently re-confirmed via primary fetch),"1 Key as of the 2024 Japan selection (the first ever for this market); no 2025 change confirmed or denied in sources found",2023 rank 5; 2024 rank 7; 2025 rank 25,MICHELIN_KEY (existing rule - not a new-scope case),"ADD under existing Key-hotel rule once independently verified. Notably only 1 Key despite a top-10 W50B ranking twice - a real example of the two lists measuring different things.","Distinct from catalogue's existing 'Aman Kyoto' entry - different city/property, already established in the prior matching pass."
Bulgari Hotel Roma,Rome,Italy,open,https://www.bulgarihotels.com/en_US/rome/,unresolved - needs Google Maps/Places access,unresolved,unresolved,3 Keys,high (hotel's own press page states this explicitly: 'Bvlgari Hotel Roma awarded 3 Keys from MICHELIN'),"Hotel opened 2023; no pre-2024 Key history possible by construction",2025 rank 22 only,MICHELIN_KEY (existing rule - not a new-scope case),ADD under existing Key-hotel rule once independently verified.,Only appeared in the 2025 list - consistent with a 2023-opened hotel needing time to build W50B voter recognition.
Hotel Il Pellicano,Porto Ercole,Italy,open,https://www.pellicanohotels.com/en/hotels/hotel-il-pellicano/,unresolved - needs Google Maps/Places access,unresolved,unresolved,1 Key,high (multiple independent sources including guide.michelin.com's own description and a dedicated 'One Michelin Key' secondary aggregator entry),unresolved - no historical Key data found predating current tier,2025 rank 26 only,MICHELIN_KEY (existing rule - not a new-scope case),ADD under existing Key-hotel rule once independently verified.,Also hosts a 1-star Michelin restaurant (Restaurant Il Pellicano) under chef Michelino Gioia - a potential future hotel-restaurant link once both sides are in the catalogue.
Borgo Santandrea,"Amalfi (also listed as Conca dei Marini, the more precise municipality)",Italy,open,https://borgosantandrea.it/,unresolved - needs Google Maps/Places access,unresolved,unresolved,2 Keys,high (guide.michelin.com's own description explicitly states 'awarded Two MICHELIN Keys'),unresolved - hotel appears relatively new (renovated under architect Rino Gambardella); no pre-current-tier history found,2024 rank 20; 2025 rank 53 (extended list),MICHELIN_KEY (existing rule - not a new-scope case),ADD under existing Key-hotel rule once independently verified. Note the city discrepancy (Amalfi vs Conca dei Marini) needs resolving during actual data collection - guide.michelin.com itself lists it under Conca dei Marini.,"Rank dropped from 20 (2024) to the extended 51-100 band (2025) - a real decline worth preserving in ranking history, not smoothing over."
Hotel Cipriani (A Belmond Hotel),Venice,Italy,open,unresolved - belmond.com domain confirmed via a sibling property's URL pattern but this specific hotel's exact URL not directly captured in this pass,unresolved,unresolved,unresolved,3 Keys,high (guide.michelin.com's own description explicitly states 'Three MICHELIN Keys'... 'An extraordinary stay'),unresolved - hotel dates to 1958; no MICHELIN Key history possible before 2024 regardless,2025 rank 72 (extended list) only,MICHELIN_KEY (existing rule - not a new-scope case),ADD under existing Key-hotel rule once independently verified.,"Distinct from catalogue's existing 'Casa Cipriani Milano' - confirmed different city, same broader hospitality lineage (Giuseppe Cipriani), separate ownership/brand track (Belmond vs. independent Casa Cipriani)."
Hoshinoya Tokyo,Tokyo,Japan,open,https://hoshinoresorts.com/en/brands/hoshinoya/,unresolved - needs Google Maps/Places access,unresolved,unresolved,"Confirmed present in MICHELIN's Key hotel selection (has its own guide.michelin.com listing page); exact tier (1/2/3 Keys) NOT independently confirmed in this pass despite repeated search attempts",medium (page existence confirmed via 3 independent sources; exact Key count could not be pinned down - left unresolved rather than guessed),unresolved,2023 rank 39 only,MICHELIN_KEY (existing rule - not a new-scope case) - pending exact tier confirmation,"ADD under existing Key-hotel rule once exact tier AND address/coordinates are independently verified. Do not guess the tier.",First ryokan-style hotel ever listed in the Michelin Guide (2017 edition) - a notable historical fact worth preserving even though pre-2024 there was no Key tier concept to assign.
Six Senses Ibiza,Ibiza,Spain,open,https://www.sixsenses.com/en/hotels-resorts/europe/spain/ibiza/,unresolved - needs Google Maps/Places access,unresolved,unresolved,"Confirmed present in MICHELIN's Key hotel selection (has its own guide.michelin.com listing page, confirmed across 9+ locale-variant URLs); exact tier NOT independently confirmed in this pass despite repeated search attempts",medium (page existence very well confirmed; exact Key count could not be pinned down - left unresolved rather than guessed),unresolved,2023 rank 49 only,MICHELIN_KEY (existing rule - not a new-scope case) - pending exact tier confirmation,"ADD under existing Key-hotel rule once exact tier AND address/coordinates are independently verified. Do not guess the tier.",Lowest-ranked (49th) of the 13 - only appeared once in 2023 and dropped out of subsequent lists entirely.
The Tokyo EDITION Toranomon,Tokyo,Japan,open,https://www.marriott.com/en-us/hotels/tyoet-the-tokyo-edition-toranomon/overview/,unresolved - needs Google Maps/Places access,unresolved,unresolved,"Confirmed present in MICHELIN's Key hotel selection (has its own guide.michelin.com listing page); exact tier NOT independently confirmed in this pass",medium (page existence confirmed; exact Key count could not be pinned down),unresolved,2025 rank 45 only,MICHELIN_KEY (existing rule - not a new-scope case) - pending exact tier confirmation,"ADD under existing Key-hotel rule once exact tier AND address/coordinates are independently verified. Do not guess the tier.",Distinct from catalogue's existing 'The Tokyo Station Hotel' entry - different brand/property entirely; that earlier rejection stands.
