candidate_id,canonical_name,source_city,normalized_municipality,country_code,production_city_match,production_city_id,classification,notes
nl_001,Merlet,Schoorl,Schoorl,NL,none,,CITY_MISSING,"Re-verified live against production cities (2026-08-12): no row matches. Matches prior workstream's finding -- no drift."
nl_002,Latour,Noordwijk aan Zee,Noordwijk aan Zee,NL,none,,CITY_MISSING,"Re-verified live: no 'Noordwijk' row in any form exists in production today."
nl_003,Basiliek,Harderwijk,Harderwijk,NL,Harderwijk,7aef4999-82cc-4ffe-b4b3-4db5b04ed88a,CITY_MATCHED,"Re-verified live -- exact match, no drift."
nl_004,Restaurant Smink,Wolvega,Wolvega,NL,none,,CITY_MISSING,"Re-verified live: no row matches."
nl_005,De Vlindertuin,Zuidlaren,Zuidlaren,NL,none,,CITY_MISSING,"Re-verified live: no row matches."
nl_006,Noble Kitchen,Cromvoirt,Cromvoirt,NL,Cromvoirt,6ceef482-c977-486e-9d41-2a8502420923,CITY_MATCHED,"Re-verified live -- exact match, no drift. NOTE: restaurant itself is MANUAL_REVIEW for an unrelated identity/location conflict (see location_results.csv) -- city resolution alone is not the blocker for this candidate."
nl_007,De Woage,Gramsbergen,Gramsbergen,NL,none,,CITY_MISSING,"Re-verified live: no row matches."
nl_008,De Swarte Ruijter,Holten,Holten,NL,none,,CITY_MISSING,"Re-verified live: no row matches."
nl_009,'t Lansink,Hengelo,Hengelo (Overijssel),NL,none,,CITY_MISSING,"Re-verified live: no 'Hengelo' row exists in either province today. Region-tagged 'Overijssel' in proposed_cities.csv to pre-empt the Gelderland homonym."
nl_010,De Bloemenbeek,De Lutte,De Lutte,NL,none,,CITY_MISSING,"Re-verified live: no row matches."
nl_011,De Gieser Wildeman,Noordeloos,Noordeloos,NL,none,,CITY_MISSING,"Re-verified live: no row matches."
nl_012,De Moerbei,Warmond,Warmond,NL,none,,CITY_MISSING,"Re-verified live: no row matches."
nl_013,Bij Jef,Den Hoorn,Den Hoorn (Texel/Noord-Holland),NL,none,,CITY_MISSING,"Re-verified live: no 'Den Hoorn' row exists in either province today. Region-tagged 'Noord-Holland' in proposed_cities.csv to pre-empt the Zuid-Holland/Delft-area homonym."
nl_014,Daalder,Amsterdam,Amsterdam,NL,Amsterdam,3736b37d-e6b0-4786-b427-e85f5a47be16,CITY_MATCHED,"Re-verified live -- exact match, no drift. NOTE: restaurant itself is MANUAL_REVIEW for an unrelated location conflict -- city resolution alone is not the blocker for this candidate."
nl_015,Graphite by Peter Gast,Amsterdam,Amsterdam,NL,Amsterdam,3736b37d-e6b0-4786-b427-e85f5a47be16,CITY_MATCHED,"Re-verified live -- exact match, no drift."
nl_016,Zheng,The Hague,The Hague,NL,The Hague,c74bc361-156b-41ca-a001-b5b607d3dd4a,CITY_MATCHED,"Re-verified live -- exact match, no drift. Production uses 'The Hague' (English), not 'Den Haag' -- convention preserved."
nl_017,AIRrepublic,Cadzand,Cadzand,NL,Cadzand,7d7f2912-8068-4bad-959e-eb37a875ad60,CITY_MATCHED,"Re-verified live -- exact match, no drift. NOTE: restaurant itself is MANUAL_REVIEW for an unrelated location conflict (given address vs. official-website-implied property diverge ~350m) -- city resolution alone is not the blocker for this candidate."
nl_018,Pure C,Cadzand-Bad,Cadzand-Bad,NL,none,,CITY_MISSING,"Re-verified live: 'Cadzand-Bad' is NOT the same production row as 'Cadzand' (used by AIRrepublic/nl_017) -- confirmed via distinct Michelin Guide municipality URL slugs in the parent workstream, preserved here, not merged."
